Lemma (見出し語)	Rank	Frequency (頻度)	Japanese (by Google)	Commentary (解説)	cf. code	Category code
classification	3,221	576	分類	分類		
classified	28,448	17	分類された	分類された. 機密の		
classifier	21,758	28	分類器	分類器		
classify	2,791	706	分類する	分類する		54
classmate	7,251	173	同級生	級友		26
classroom	4,879	314	教室	教室		26
classy	18,353	38	高級な	高級な. ハイカラな. 粋な		
clatter	29,384	16	カチャカチャという音	がたがた(する)		30
Claus	12,442	72	クラウス	Santa Claus サンタクロース		98
clause	5,338	274	句	条項. 個条. 箇条. (文法)節		27
claustrophobia	31,439	14	閉所恐怖症	閉所恐怖症. 密室恐怖症	727	
claustrophobic	19,875	33	閉所恐怖症の	閉所恐怖症の	727	
clavicle	61,960	3	鎖骨	鎖骨(collarbone)		79
claw	10,369	97	爪	動物の爪. つめ. 人の爪はnail. (cf. カラスはcrow. 爪はclaw. 下等動物の胃袋はcraw). (cf. hoof. paw. claw foot)	195	76
clawed	28,448	17	ツメガエル	ツメガエル	255	72
clay	6,050	229	粘土	粘土		57
clean	1,270	1,854	クリーン	きれいな. 清潔な		
cleaner	6,689	196	クリーナー	掃除人. 洗剤		
cleaning	12,653	70	クリーニング	掃除. 洗濯. クリーニング. (俗)(ゲームなどの)大敗. 惨敗. 経済上の大損. 丸損		31
cleanliness	17,312	42	清潔	きれい好き. 清潔		
cleanly	28,448	17	きれいに	きれい好きな. 清潔に		
cleanse	15,371	51	清める	清潔にする. 浄化する		
cleanser	35,353	11	クレンザー	洗剤		
cleansing	12,550	71	クレンジング	洗浄		
cleanup	9,451	113	掃除	掃除. 一掃. 浄化運動. (俗)大もうけ. 4番打者(の)		31
clear	596	4,078	クリア	晴れた. 明るい. 澄んだ. 透明な. 明白な. 純粋な. 全くの. 証明する. 疑いを晴らす. 片付ける. 快晴. 晴れ		62
clearance	6,497	205	クリアランス	取りかたづけ. 手形交換. 掃除. 間隔. 隙間		
clearer	9,784	106	明確に	明確に		
clearest	15,371	51	明確な	明確な		
clearheaded	38,763	9	clearheaded	頭の冴えた		
clearing	10,986	88	クリアリング	手形交換. 清掃		
clearinghouse	19,536	34	情報センター	情報センター		
clearly	1,082	2,246	明らかに	明瞭に. はっきりと. 明るく	753	
Clearwater	29,384	16	クリアウォーター	クリアウォーター. フロリダ州西海岸の都市. 近隣のタンパやセントピーターズバーグとともにタンパ･ベイエリア大都市圏を形成		2
cleat	40,852	8	クリート	耳形綱止め. 電線押え. クリート. 靴の底がね		
cleavage	4,513	353	開裂	裂け目		
cleave	12,914	68	クリーブ	道を切り進む. (材木など)を切り裂く. 執着する. 割る. 突き進む. 割れる		
cleaved	11,863	78	切断された	＜cleave. 切断された		
cleaver	23,138	25	クリーバー	包丁. 肉切り包丁		
clef	43,408	7	音符記号	音符記号		45
cleft	13,664	62	割れ目	裂け目. 分裂. cleaveの過去･過去分詞. 裂けた. 割った		
clematis	61,960	3	クレマチス	クレマチス. 昔から人気があり, traveler's joy や old man's beard, virgin's bower などの愛称がある. テッセンはクレマチスの一品種.		69
clemency	13,952	60	減刑	穏やかさ. 寛大さ. 温順. 仁慈. 温情の処置. 温和		12
clementine	55,144	4	クレメンタイン	クレメンタイン. 小さな甘いミカン		69
clench	25,431	21	食いしばる	くいしばる. こぶしを握り締める. (cf. grasp. clasp. seize. clench. grip. clutch)	931	
Cleopatra	17,555	41	クレオパトラ	クレオパトラ(69?-30 BC,エジプトの女王)		98
clergy	9,203	118	聖職者	聖職者. (cf. clergy. priest. monk)	937	6
clergyman	22,636	26	牧師	聖職者. 牧師	644	6
cleric	14,564	56	聖職者	聖職者. 牧師	498	6
clerical	13,799	61	聖職者	聖職者の. 書記		
clerk	6,220	219	店員	事務員		
Cleveland	4,213	391	クリーブランド	クリーブランド(米国Ohio州の都市). イングランド北東部の州		2
clever	4,773	325	賢い	利口な. 賢い. 上手な. 得意な		
cleverly	13,018	67	巧妙に	うまいこと. 器用に		
cleverness	24,198	23	賢さ	器用. 賢さ. 手際よさ. 利口		
cliche	11,762	79	決まり文句	(陳腐な)決まり文句. 月並みな考え	632	
click	964	2,536	クリック	かちりと音がする. 冗談などがピンと来る. わかる. カチ. パチリ. カチンという音. (cf. crickは寝違える)	641	30
client	901	2,721	クライアント	顧客. お得意様. 来訪者. 訴訟依頼人. (弁護の)依頼人		
clientele	17,075	43	顧客	(集合的)訴訟依頼人. 顧客		
cliff	4,410	365	崖	がけ. 崖		
cliffhanger	23,649	24	クリフハンガー	はらはらさせるもの. はらはらする試合		
climactic	17,841	40	クライマックスの	絶頂の. 最高潮の. クライマックスの		
climate	3,440	519	気候	風土. 気候. 地方. 地帯. 土地		62
climatic	19,238	35	気候の	気候の. 気候上の		62
climax	9,843	105	クライマックス	最高潮. 絶頂. 最高点. 極点		
climb	2,379	885	登る	登る. 昇る. 上る		
climber	12,787	69	クライマー	登山者. はい登る植物(ツタなど). 出世主義者		46
climbing	23,649	24	クライミング	登山		46
clime	31,439	14	clime	地方. 国土(from northern climes. 北の国から). 気候. (clime地方･気候. crime犯罪)		
clinch	16,407	46	クリンチ	に決着をつける. 決定する. 締付ける. 片. 決着をつける		
clincher	38,763	9	決め手	決定的な決め手. 理由		
cline	22,163	27	クライン	クライン. 連続変異現象. 中間にさまざまな異種がある段階的な変異の仕方		
cling	8,344	138	しがみつく	くっついて離れない. 固守する. くっつく	729	
clinger	29,384	16	clinger	まとわり付く人		
clingy	46,471	6	体にぴったりした	粘着性の. くっついて離れない		
clinic	3,568	493	クリニック	臨床講義. 診療室. クリニック		89
clinical	1,147	2,109	臨床の	診療所の. 臨床の. 臨床治療の. 客観的な態度の		92
clinically	6,638	198	臨床的に	臨床的に		
clinician	5,789	245	臨床医	臨床医		
clink	43,408	7	かちんという音	カチン. かちんという音. コップがぶつかる音		30
Clinton	241	9,331	クリントン	ビル･クリントン(米国第42代大統領 1993–2001). 民主党	449	98
clip	4,048	414	クリップ	切り取る. クリップ		
clipboard	29,384	16	クリップボード	回覧板. クリップボード. 紙挟み(板)		
clipper	16,191	47	クリッパー	クリッパー. 19Cに発達した大型快速帆船. 積載量より速度重視. 多くのマストと帆を持つ. ティークリッパー(茶),ウールクリッパー(羊毛)と呼ばれ,. カティーサーク号(英)は保存		
clipping	14,880	54	クリッピング	切り抜き. 留める		
clique	19,536	34	徒党	派閥. 徒党		
cloaca	35,353	11	排出腔	下水. 便所		49
cloak	12,787	69	マント	覆い隠す. マント. 覆い. 口実. 覆い隠すもの		
clobber	33,910	12	ひどく殴る	を打ちのめす. を壊す. 持ち物. 衣類		
clock	3,131	602	クロック	掛時計. (cf. watch腕時計)		
clockwise	29,384	16	時計回りの	時計方向に. 右回りに. 右回りの		
clockwork	23,649	24	時計仕掛け	ぜんまいじかけ. 時計じかけ		
clod	36,956	10	土塊	土. (土などの)塊		
clog	11,485	82	クロッグ	の動きを妨げる. ふさぐ. 動きを妨げる. 詰まらせる. 邪魔者. おもり. 2. 木靴	745	
cloister	11,762	79	回廊	修道院. 回廊. 引きこもる. 修道院生活. 隠遁生活. 静かな隠れた場所		
cloistered	27,590	18	隠遁的な	隠遁的な		
clomipramine	24,198	23	クロミプラミン	クロミプラミン. 抗うつ薬として用いられる有機化合物の一種		87
clone	871	2,813	クローン	クローンの. 無性的に繁殖させる. (cf. crone. しわくちゃ婆. クローン病Crohn's disease,CD)	197	81
cloning	15,752	49	クローニング	クローニング		
Clontech	7,934	149	クロンテック	クロンテック(社名他)		96
clonus	50,313	5	クローヌス	(病)クローヌス. 間代(かんたい)性けいれん(ある種の神経病のため筋肉の収縮と弛緩が急激に交互に起る症状)		91
close	419	5,622	閉じる	を閉める		
closed	11,667	80	閉じた	閉店		30
closely	2,120	1,026	密接に	きっちりと. 近く. 親密に		
closeness	16,191	47	近さ	密接		
closeout	36,956	10	見切り	見切りバーゲンセール. 蔵払い		16
closer	2,132	1,016	クローザー	近い. closeの比較級		
closest	3,809	451	最も近い	最も近い		
closet	4,904	312	クローゼット	密談させる. 戸棚. 人に知られていない. 隠れた		
closing	4,418	364	閉鎖	終りの		
clostridium	20,935	30	クロストリジウム属	クロストリジウム属細菌		85
closure	6,191	221	閉鎖	締切り. 閉店. 閉鎖. 締め切り		
clot	9,290	116	血餅	凝塊する. 塊		
cloth	4,956	307	布	ラシャ. 布. 織物. 布地. 幕. 服地		
clothe	12,914	68	衣服を着せる	に衣服を着せる. 着せる. 衣服を着せる		
clothes	1,854	1,220	服	着物. 衣類		36
clothesline	36,956	10	ラリアット	物干しロープ		
clothespin	55,144	4	洗濯挟み	(UK英)洗濯挟み(clothes peg)	856	
clothier	43,408	7	服屋	服屋. 紳士服店. 服地屋. 織物仕上げ工		
clothing	2,897	670	衣類	に衣服を着せる. 服を着せる		
cloud	3,917	433	雲	雲		
cloudless	35,353	11	雲のない	暗影のない. 雲のない. 晴れ渡った		
cloudy	14,880	54	曇った	雲の. 曇った		62
clough	55,144	4	クラフ	狭い谷. 谷あい		63
clout	12,653	70	影響力	権力. 影響力. 勢力. 政治的影響力. 一殴り. (野球の)ヒット. 強打. (口)殴る. 打つ		31
clove	18,064	39	クローブ	裂けた. ちょうじ		39
clover	28,448	17	クローバー	クローバー		69
clown	6,786	191	ピエロ	おどける. からかう. 道化師. 道化役者. 田舎者	547	25
cloy	20,527	31	飽きが来る	あきあきさせる. 満腹させる. 飽きあきさせる		
clozapine	8,344	138	クロザピン	クロザピン. 統合失調症の治療薬. 非定型抗精神病薬である		87
CLR	26,829	19	CLR	Common Language Runtime. 共通言語ランタイム		29
club	1,074	2,261	クラブ	クラブ. 部		18
clubby	35,353	11	クラブ風の	社交的な. 排他的な		
clubhouse	8,697	129	クラブハウス	クラブ会館. 運動選手のロッカー室		
cluck	27,590	18	鳴き声	鳴き声		75
clue	3,412	528	手掛かり	手がかり. 筋道. かぎ. 手掛かり. 糸口. 端緒. (cf. crew)	903	
clued	31,439	14	clued	知っている. (の)事情に明るい(up. about. on ～)		
clueless	9,905	104	無知な	無知な		
clump	21,344	29	塊	群がらせる. かたまり. 木立ち. (cf. crampけいれん)	641	
clumsily	28,448	17	不器用に	無器用に	560	
clumsy	11,169	86	不器用な	無器用な. 不格好な. 不器用な	560	
clunk	35,353	11	一撃	(金属)ガチャン(ガーン)という音. 強打. 一撃		
clunky	14,381	57	格好悪い	不細工な. ぶざまな. かっこ悪い. さまにならない		
clustal	18,918	36	Clustal	Clustal,広く用いられている多重整列プログラム. clustalWとclustalXがある		95
clustalW	17,075	43	clustalW	clustalプログラムの一種(cf. ClustalX)	199	95
clustalX	24,827	22	clustalX	多重整列プログラムの一種. (cf. clustalW)	199	95
cluster	857	2,856	クラスタ	かたまり. 束. 一団. 群集. (花. 果実の)房. 群がる. 房になる		69
clustering	18,625	37	クラスタリング	房,群れ,集団を形成する. クラスター化. クラスタリング		
clutch	8,968	123	クラッチ	を掴む. にしがみつく. 把握. クラッチ. ピンチ. (cf. grasp. clasp. seize. clench. grip. clutch)	931	
clutched	30,344	15	クラッチ式	緊張した		
clutches	20,935	30	クラッチ	鷲掴みする(三単現). (松葉杖はcrutches)		
clutter	12,914	68	乱雑	取り散らかす. 散乱させる. 騒ぐ. 散乱物. 乱雑. 混乱	482	
cm	2,814	696	cm	センチメートル. centimeter		50
CMV	4,755	327	CMV	Cytomegalovirus サイトメガロウイルス(ヘルペスウイルス科のひとつ. 多くの人が幼児期に不顕性感染していると言われる)		91
cn	7,614	159	CN	cn. 中華人民共和国の国別コードトップレベルドメイン		
CNBC	17,075	43	シーエヌビシー	CNBC放送. ニュース専門放送局. Consumer News and Business Channelの頭文字.		43
CNN	3,078	616	CNN	Cable News Network. CNN放送		43
CNNFN	26,829	19	CNN Finantial	CNN Finantial		43
CO	1,679	1,353	CO	Colorado コロラド州. CO接頭語 (共同･共通･同等の意). (数学) 余. 補(cosineなど)		4
coach	2,065	1,065	コー​​チ	大型四輪馬車. 客車. 長距離バス		41
coached	15,956	48	コー​​チ	訓練された. 指導された		
coaching	8,604	131	コー​​チング	コーチング		
coactivator	11,169	86	コアクチベーター	コアクチベーター(共に活性化する要素)		
coagulation	23,138	25	凝固	凝固		
coal	4,812	322	石炭	石炭. (cf. call. cole. coal. kohl)	542	60
coalesce	29,384	16	合体する	融合する. (折れた骨が)くっつく. 合体する. 合同する. 癒着する		
coalescence	55,144	4	合体	合体. 合同, (骨が)くっつくこと.		78
coalition	3,489	507	連合	(一時的な)連合. 連立. 一体化		21
coarse	12,653	70	粗い	粗野な. あらい. 粗末な. 粗い		
coarsely	26,084	20	粗野に	下品に. 粗野に		
coast	1,254	1,889	海岸	沿岸. 海岸. 順調に進む. 海岸に沿って航行する. 惰性で動く		63
coastal	5,401	269	沿岸の	海岸の		
coaster	11,408	83	コー​​スター	沿岸貿易船. 滑降そり. (遊園地の)(グラス受けの)コースター		
coastline	6,595	200	海岸線	海岸線		63
coat	2,849	684	コー​​ト	の表面をおおう. めっき. 覆う	787	
coated	11,080	87	コー​​ティングされた	コーティングされた		
coating	14,726	55	コー​​ティング	コーティング		
coattail	36,956	10	coattail	(燕尾服)上着のすそ. 人のおかげで. 人の助けで		36
coauthor	43,408	7	共同著作者	共同著作者(=joint author)		35
coax	16,610	45	同軸ケーブル	うまく説得する. なだめすかす(=persuade). ご機嫌取り. 同軸ケーブル(=coaxial cable)	546	60
coaxed	26,829	19	なだめ	上手に扱われた. なだめなだめ	546	
cob	26,084	20	トウモロコシの穂軸	cob(kάb,kˈɔb). トウモロコシの穂軸. 2. 足が短く丈夫な乗用馬. 3. 雄の白鳥. 4. ヘーゼルナッツ. 5. COB(Close Of Business)終業. (cf. cobwebクモの巣)	201	69
cobalt	31,439	14	コバルト	コバルト(金属元素). コバルトブルー. cobalt blue		57
cobb	13,139	66	コブ	人名(Ty Cobb,野球選手. 他). 2. 籐製のバスケット. 3. 日干し煉瓦のように粘土,わら,土で作った建材. 4. カモメ(sea-cob). 5. 石畳(cobblestones). (cob玉蜀黍の穂. 別語)	201	
cobble	10,494	95	玉石	(靴を)修繕する. 急いで作り上げる. 丸石(を敷く)		
cobbler	25,431	21	靴直し	靴直し(店). パスポートや偽札を作る人		
cobblestone	22,636	26	玉石	舗装用の丸石. 玉石		
cobra	20,935	30	コブラ	コブラ		72
cobuild	28,448	17	COBUILD	コウビルド英英辞典. Collins社のCOBUILD Dictionary of American English. Cobuildは共に作る,の意		
cobweb	40,852	8	クモの巣	クモの巣. (cf. cobとうもろこしの穂軸. 他)	201	74
coca	6,845	188	コカ	コカ(南米産薬用植物). その乾燥した葉		
cocaine	5,530	261	コカイン	コカイン		87
coccus	38,763	9	球菌	球菌. 個々の細胞の形状が球形の原核生物(真正細菌及び古細菌)のこと. 桿菌(bacillus),らせん菌(spirillum)と併せ,原核生物を形態で分類する場合の用語	139	85
cochin	40,852	8	コー​​チン	コーチン. アジア産の肉用の鶏		72
cochlea	15,371	51	蝸牛管	Cochlea(kóʊkliə)(内耳の)蝸牛管. 渦巻管	535	79
cochlear	21,758	28	蝸牛の	(内耳の)蝸牛(殻)の		79
cock	12,787	69	コック	オンドリ(自惚れた動物の象徴). (水道などの)蛇口. コック		72
cockatoo	40,852	8	ボタンインコ	ボタンインコ. 見張り役		72
cocked	28,448	17	コック	調理された		
cocker	22,163	27	コッカー	甘やかす. 大事にする	748	
cockfight	43,408	7	闘鶏	闘鶏(試合)	981	76
cockle	55,144	4	ザルガイ科の二枚貝	(鳥貝. 赤貝. ムール貝などザルガイ科の二枚貝). その殻. 2. 小舟. 3. (紙･皮の)しわ. しわを寄せる. 4. 小さな暖炉. ストーブ		74
cockney	22,636	26	コックニー	ロンドン子. ロンドン言葉. ロンドン下町なまり. ロンドン子の		
cockpit	6,909	186	コックピット	操縦室(席). 操縦席. 闘鶏場. コクピット. 戦場		
cockroach	18,625	37	ゴキブリ	ゴキブリ(roachも)	203	74
cocktail	4,641	339	カクテル	カクテル		39
cocky	21,344	29	生意気な	気取った. うぬぼれた	646	
coco	10,299	98	ココ	ココヤシ. ヤシ. 黒人. 頭. 有色人種		
cocoa	9,784	106	ココア	ココア		
coconstruct	28,448	17	共同構成概念	共同構成概念		
coconut	9,784	106	ココナッツ	ココヤシの実. ココナツ		
cocoon	20,184	32	まゆ	まゆ. 繭		72
cod	6,990	183	タラ	タラ. 鱈		72
coda	20,527	31	コー​​ダ	コーダ. (楽曲･楽章)終結部		45
coddle	40,852	8	coddle	(人や動物を)やさしく扱う. 大事に世話をする. 甘やかす	748	
code	1,004	2,435	暗号	暗号(にする). 慣例. 法典. 規約. 符号. 国際規約. (cf. cord. ひも,電源コード. code. 法典,規範,記号,暗号,コード化(cf. encode,decode). chord. 弦,和音など音楽関連,感情)	191	95
coded	25,431	21	コー​​ド化された	コード化された		95
codeine	32,594	13	コデイン	コデイン(鎮痛・催眠剤)		87
coder	40,852	8	符号器	コード化するソフト. (反. decoder)		
codex	28,448	17	写本	(古典や聖書の)古写本		43
codger	43,408	7	おいぼれ	おじいさん. おいぼれ. じじい. 偏屈者. 変人		
codification	29,384	16	成文化	成文化		
codify	18,918	36	codify	法典に編む. を成文化する. 体系化する. 分類する		
coding	28,448	17	コー​​ディング	コーディング		
codon	3,071	619	コドン	コドン. 核酸の塩基配列がタンパク質を構成するアミノ酸配列へ生体内で翻訳されるときの,各アミノ酸に対応する3つの塩基配列のこと		89
coed	28,448	17	男女共学の	共学の女子学生		
coefficient	3,032	630	係数	係数. 率		
coelicolor	27,590	18	コエリカラー	コエリカラー(セリカラー). Streptomyces coelicolorで放射菌の一種の名		89
coenzyme	19,536	34	コエンザイム	コエンザイム(酵素名)		88
coerce	26,829	19	強要する	強制する. 強制して～させる. 強要する. 威圧する	545	
coerced	25,431	21	強要	強要	545	
coercion	18,353	38	強制	威圧. 強制		
coercive	16,859	44	強制的な	強制的な		
coevolution	18,918	36	共進化	共進化		
coevolutionary	28,448	17	共進化	共進化		
coevolve	16,859	44	coevolve	(生科学)共進化する		
coexist	14,085	59	共存する	共存する		
coexistence	24,198	23	共存	共存		
coexpressed	23,138	25	共発現した	共発現した		
coexpression	24,198	23	共発現	共発現		89
cofactor	12,914	68	補因子	補因子(規定の結果を出すために他の物質と結合しなければならない,補酵素のような物質). コファクター,共通成分とも		
coffee	1,780	1,268	コー​​ヒー	コーヒー		39
coffeehouse	30,344	15	喫茶店	コーヒー店		
coffer	14,880	54	財源	貴重品箱. 金庫. 財源. 金庫に納める. 塞き止める		16
coffin	10,898	89	棺おけ	棺. 棺桶. かんおけ. ひつぎ. (=casket). ぼろ船. 棺に入れる. 納棺する		52
cog	4,313	378	歯	(歯車の)歯		
cogeneration	35,353	11	熱電併給	コージェネレーション		
cogent	23,649	24	説得力のある	説得力がある. 適切な. 説得力のある. 人を承服させる. 力強い	546	
cogently	46,471	6	人を説得できるほどに	(議論など)説得力をもって. 効果的に. 適切に	546	
cognac	35,353	11	コニャック	コニャック		39
cognate	13,018	67	同系	同起源の. 同語源の. 同語根語. 祖先を同じくする. 同血族の		27
cognition	16,191	47	認識力	認識(力). 知識		
cognitive	5,733	249	認識の	認識の		
cognizant	23,649	24	認識して	認識している. 認識力のある		
cohabit	50,313	5	cohabit	同棲する		
cohabitation	43,408	7	同棲	同棲する. (男女の)同棲. 共同生活. (異種動物の)共同生息. 2. (特に大統領と野党出身首相との)政治的共存･協力		37
Cohen	3,700	469	コー​​エン	コーエン(人名)		98
cohere	55,144	4	密着する	首尾一貫している. 結合する. 密着する		
coherence	17,312	42	コヒーレンス	首尾一貫性. 首尾一貫		
coherent	7,899	150	コヒーレント	首尾一貫した. 同位相の. 密着した. 筋の通った. 一貫した		
cohesin	15,956	48	コヒーシン	コヒーシン. 姉妹染色分体の接着(複製された染色体を娘細胞に均等に分離する過程, sister chromatid cohesion)に主要な役割を果たすタンパク質複合体		89
cohesion	13,799	61	凝集	粘着. 結合. 結束作用		
cohesive	17,312	42	凝集	(日常などに)密接した. 粘着性のある. 結合性のある. 密着する		
cohort	4,117	404	コホート	(古代ローマ)歩兵隊. 軍隊. 仲間. 相棒	945	
coiffure	40,852	8	ヘアスタイル	ヘアスタイル		
coil	11,963	77	コイル	ぐるぐる巻く. コイル		
coiled	22,163	27	コイル状	コイル状		
coin	3,527	500	コイン	鋳造する. 貨幣. 小銭		50
coinage	14,726	55	貨幣	貨幣鋳造. 貨幣制度. 新語. 新造語		50
coincide	7,725	155	一致する	一致する. 同時に起こる. 性質が合う. 同じくする		
coincidence	7,044	181	一致	偶然の一致･出合い		
coincident	24,198	23	一致する	同時に起こる		
coincidental	18,625	37	偶然	偶然一致する		
coincidentally	11,963	77	偶然	偶然		
Coindre	24,827	22	コインドロホール	コインドロホール. ニューヨーク州ロングアイランドに20世紀初頭に建築されたフランス風城砦建築		18
coinfection	27,590	18	同時感染	同時感染		91
coke	4,391	367	コー​​クス	コカコーラ. コークス. (cf. corkコルク. Coke=Coca cola,コークス. caulkこーキングする). コカイン	796	39
col	7,819	152	コル	コル. 鞍部. 気圧の谷. 鞍形等圧線		
colander	43,408	7	コランダー	水切り器(わんの形の下に小さい穴がいくつもある料理用具). こし器	536	
cold	1,093	2,230	冷たい	風邪. 冷たい		62
colder	12,653	70	寒い	寒い		
coldest	24,827	22	最も寒い	寒い		
coldly	26,829	19	冷たく	冷たく		
coldness	28,448	17	寒さ	寒さ. 寒気. 不感. 冷ややかさ. 冷感. 冷静. 冷淡		62
Cole	5,709	250	コー​​ル	Nat King Cole. ナット･キング･コール(1919-65). アメリカの歌手,ジャズ･ピアニスト. 艶のある低音で有名. 2. アブラナの一種,葉キャベツ. 3. USS Cole米海軍のミサイル駆逐艦	542	98
Coleman	9,333	115	コー​​ルマン	コールマン (人名)		98
coleslaw	40,852	8	コー​​ルスロー	キャベツサラダ		39
coli	2,588	778	大腸菌	大腸菌の (cf. Escherichia coli. E coli 大腸菌)	103	85
colic	30,344	15	疝痛(せんつう)	(the colic)(医学). 疝痛(せんつう). さしこみ.	791	91
Colin	3,272	565	コリン	コリン(人名)		98
coliseum	26,829	19	コロシアム	大競技場		46
colitis	18,918	36	大腸炎	大腸炎		91
collaborate	8,373	137	協力する	共同する. 協力する. 共同して働く. 共同研究する	953	
collaboration	5,867	240	コラボレーション	共同研究. 共著. (占領国･敵国などへの)協力	953	22
collaborative	10,986	88	共同の	共同の. 共同作業の. 合作の		
collaborator	12,240	74	協力者	協力者. 共編者. 敵国協力者	953	22
collage	19,238	35	コラージュ	コラージュ(画面に新聞紙の切り抜きや写真をはりつけ,特殊な効果をねらう技法)		43
collagen	4,904	312	コラーゲン	コラーゲン. 膠原質		87
collagenase	13,521	63	コラゲナーゼ	コラゲナーゼ. コラーゲン蛋白を分解する酵素の一種		88
collapse	2,309	920	崩壊	失敗(する). 崩壊(する). 暴落(する). 衰弱(する)		16
collar	8,066	145	襟	首飾り(colorとは発音異なる). えり. 首飾. 首章	513	36
collarbone	31,439	14	鎖骨	鎖骨. (clavicle)		79
collard	38,763	9	コラード	コラード(米国南部で栽培されるケールの一種で食用). ちりめんキャベツ		39
collate	36,956	10	照合する	対照する. のページ順をそろえる. の落丁調べをする		
collateral	11,762	79	傍系の	付随的な. 傍系の. 対応する. 見返りの. 傍系親. 縁者		
colleague	1,938	1,149	同僚	同僚. 仲間	945	
collect	1,134	2,140	集める	を集める. を徴収する. (cf. collect. 集める. correct. 訂正する)	207	
collectable	43,408	7	収集可能な	収集価値のあるもの. マニアが収集するもの		67
collected	29,384	16	集めた	落ち着いた. 集まった. 集めた. 収集した	686	
collectible	13,263	65	コレクター	グッズ. 収集された		
collecting	20,184	32	収集	収集	686	
collection	893	2,734	コレクション	収集. 取り立て. 集じん		
collective	4,428	363	集合的な	全体的な. 共同の. 集団の	374	
collectively	7,296	171	集合的に	集合的に	374	
collectivism	43,408	7	集産主義	集産主義(体制)		19
collector	5,517	262	コレクター	光捕集器. 収集家. 集金人		
colleen	17,841	40	少女	少女. 娘		
college	637	3,873	大学	大学		26
collegial	46,471	6	合議	同僚が平等に責任(権限)を有する		12
collegiate	16,191	47	大学の	大学(カレッジ)の. 大学生らしい. 大学生用の. 大学(組合)組織の		
colliculi	27,590	18	丘	小隆起,丘		
collide	16,407	46	衝突する	衝突する. ぶつかる. 一致しない		
collided	24,198	23	衝突	衝突		
collie	24,827	22	コリー	コリー(羊の番犬)		72
collier	23,138	25	コリアー	(炭鉱の)坑夫. 石炭船		57
Collins	5,689	251	コリンズ	コリンズ(人名)		98
collision	7,554	161	衝突	衝突		
collocation	19,875	33	コロケーション	連語法. (文法)語の配列,連語,コロケーション		27
colloid	36,956	10	コロイド	コロイド. 極微細な粒子が液体･気体･固体などの媒体中に分散している状態(colloidal dispersion). 分散している粒子を分散質,媒体を分散媒という. 膠質ともいう		56
colloquial	13,952	60	口語の	日常会話の. 口語の. 話しことばの. くだけた		
colloquialism	40,852	8	口語表現	口語体の語句. 話しことば		
colloquy	46,471	6	会話	(正式な)協議. 会談. (格式張った)会話. 対話	711	
collude	28,448	17	共謀する	共謀する		
collusion	18,064	39	共謀	共謀. なれ合い. 野合. 通謀詐害(両当事者の間に対立がないのに双方の合意のうえで訴訟を起こすこと)		12
collusive	55,144	4	共謀	なれ合いの. 共謀の		
colocalization	24,198	23	共局在化	同時局在. 共局在性. 共局在		
colocalize	29,384	16	共存する	共存する		
cologne	19,536	34	コロン	コロン. オーデコロン		87
Colombia	8,251	140	コロンビア	コロンビア共和国 Republic of Colombia. 首都ボゴタ. (Columbiaアメリカ合衆国の古名他は別語)	625	1
Colombian	12,344	73	コロンビアの	コロンビア(国)の	625	1
Colombo	28,448	17	コロンボ	コロンボ. スリランカの最大都市でかつての首都. (現在はスリジャヤワルダナプラコッテ)		2
colon	3,794	454	コロン	コロン(:). 2. 植民農業者. 大農園所有者. 3. コロン(コスタリカなどの通貨単位). 4. 結腸(盲腸・直腸をのぞいた大腸の大部分)		79
colonel	10,623	93	大佐	連隊長. 大佐. 部長		23
colonial	4,346	372	コロニアル	植民地の		
colonialism	23,649	24	植民地主義	植民地主義. 植民地化政策		19
colonialist	43,408	7	植民地主義者	植民地主義者		19
colonist	13,263	65	入植者	(海外)移住民. 入植者. 植民地開拓者		
colonization	10,696	92	植民地化	植民地化. 入植		
colonize	24,827	22	植民地化する	植民する		
colonized	18,625	37	植民地化	植民		
colonnade	21,758	28	コロネード	(ギリシャ建築などに見られる)列柱. (道路両脇の)並木		
colonnaded	27,590	18	列柱のある	列柱のある		
colony	2,596	775	植民地	植民地. 移民		
color	990	2,478	色	色. 色のついた. 色をつける. (cf. collar. 襟)	513	48
Colorado	3,246	571	コロラド州	コロラド州,CO		4
coloration	25,431	21	着色	着色(法). 色合い. 血色. 天然の色. 音声の調子. 考え方. 態度		48
colorblind	20,184	32	色盲	色盲		
colorectal	7,417	166	結腸直腸の	結腸直腸の		79
colored	22,163	27	着色された	色づいた. 着色した. 有色の		
colorful	4,599	343	カラフル	色彩ゆたかな		
coloring	55,144	4	着色	着色剤. 色合い		87
colorist	46,471	6	カラリスト	カラリスト,彩色者		48
colorless	23,649	24	無色	生気のない. 青ざめた		
colors	43,408	7	色	(pl. )国旗. 軍旗		
colossal	15,371	51	巨大な	巨大な. 素晴らしい. 途方もない	695	50
Colosseum	27,590	18	コロシアム	コロッセウム. 1世紀ローマ帝政期にローマに造られた円形闘技場. 火山灰のローマン･コンクリートで建造. 長径188mの楕円形. 高さ48m. 約5万人収容		10
colossus	24,198	23	巨人	巨像. 巨大な物. 巨人	695	50
colostrum	24,198	23	初乳	初乳		81
colour	7,388	167	色	colorの英式綴り		
coloured	23,138	25	着色された	着色された		
colourful	24,198	23	カラフル	colorfulの英式綴り		48
colt	17,555	41	コルト	子馬		72
