Word	POS	BNC Rank	Google Rank	IPA	Conjugations	Synonyms	Arabic	Chinese	German	Greek	English	French	Italian	Japanese	Korean	Dutch	Portuguese	Russian	Spanish	Swedish	Thai	Turkish
duration	n.	5006	3975	dˈʊrˈeɪʃən	durations	N/A	دوام, بقاء, أمد, مدة	持续时间, 持续	Dauer	διάρκεια	period of time that something continues	durée	durata	持続期間, 存続期間; 耐久年数	지속, 계속기간, 존속기간	periode, tijd	duração	продолжительность, длительность	duración, longitud de tiempo	varaktighet	เวลา ช่วงเวลา	süreç, süre, süreklilik, devam
dye	n.	18319	10683	dˈaɪ	dyes dyed dyeing	N/A	دهان, صبغ, صبغة شعر, صباغ	颜料, 染料	Farbstoff	βαφή, χρώμα	coloring, pigment, tint	colorant, teinture	tintura, materia colorante, tinta; colore	染料	물든 색	verfstof, kleur	tinta; corante	краска, красящее вещество, цвет	tinte, color, colorante, tintura	färg	สีย้อม สารย้อมสี	boya, boyama, saç boyası
dynamic	adj.	5852	2725	daɪnˈæmɪk	N/A	N/A	ديناميكي, فعال, متميز بفاعلية مستمرة, متحرك, مفعم بالحيوية	N/A	dynamisch, energetisch	δυναμικός	forceful, energetic, vigorous, spirited	dynamique, énergique, actif	dinamico; (Med) funzionale	動力の; 動力学の; 力学の; 動的な; 活動的な	활력있는, 정력적인, 강력한, 활발한	dynamisch	dinâmico, energético	динамический, активный, энергичный, действующий, функциональный	dinámico, activo, cambiante, vivaz	dynamisk, energisk, aktiv	เต็มไปด้วยพลังและความคิดสร้างสรรค์ มีชีวิตชีวา, คล่องแคล่ว, มีพลัง	dinamik, enerjik, devingen
ecological	adj.	10062	7923	ikəlˈɑdʒɪkəl	N/A	N/A	بيئي	N/A	ökologisch, Naturschutz betreffend	οικολογικός	of or pertaining to the environment and the quality of the environment	écologique, relatif à la qualité de l'environnement	ecologico, dell'ecologia	生態学の	생태학의, 생태학적인	milieu beschermend, ecologisch	ecológico	экологический	ecológico	ekologisk, miljövårdande	N/A	ekolojik, çevrebilimsel, çevre
ecology	n.	13013	6519	ɪkˈɑlədʒi	ecologies	N/A	علم البيئة, علم التنبؤ	生态学, 社会生态学	Ökologie, Umweltschutz	οικολογία	(Biology, Sociology) study of the relationship between living organisms and their environment (especially pertaining to issues such as pollution); environment as it connects or relates to living organisms	écologie, protection de la nature, de l'environnement	ecologia	（生物学; 社会学）生態学, 有機体とそれらの環境の関係についての科学（特に汚染などに関する）; 有機体に関する環境	(생물학, 사회학) 생태학, 생물과 그의 환경의 관계에 대해 연구하는 학문 (특히 환경오염과 같은 문제의)	milieubescherming, ecologie	(Biologia, Sociologia) ecologia, estudo das relações entre os seres vivos e o meio ambiente (especialmente a assuntos sobre poluição); meio ambiente em relação aos seres vivos	экология	ecología	ekologi, miljövård	ระบบนิเวศน์ ความสัมพันธ์ระหว่างสิ่งมีชีวิตในระบบนิเวศน์	ekoloji, çevrebilim
economically	adv.	7959	11708	ˌɛkənˈɑmɪkli	N/A	N/A	اقتصاديا, باقتصاد, بتوفير	N/A	wirtschaftlich; sparsam; gewinnbringend	N/A	from the point of view of economics; thriftily; profitably	économiquement; de façon économe; de manière rentable	economicamente	経済的に; 経済上は; 経済的に言えば	경제적으로; 실리적으로; 절약적으로	economisch; spaarzaam; rendabel, winstgevend	economicamente; de modo econômico; de modo lucrativo	экономно, практично, экономически	económicamente, sin demasiado gasto	ekonomiskt; sparsamt; lönande, på lönande sätt	ในเชิงเศรษฐกิจ เกี่ยวกับเศรษฐกิจ, เกี่ยวกับเศรษฐศาสตร์	ekonomik biçimde
economist	n.	11939	12116	ɪkˈɑnəmɪst	economists	N/A	عالم الاقتصاد, العالم الإقتصادي	经济学者, 经济家	Volkswirtschaftler	οικονομολόγος	specialist in economics, expert in the study of the management of goods and services	économiste	economista; (rar) persona economa	経済学者; 家計を執る人; 経済家	경제학자, 경제가	econoom	economista	экономист, бережливый человек	economista, ecónomo	ekonom	นักเศรษฐศาสตร์	ekonomist, iktisatçı, tutumlu kimse
effectiveness	n.	4531	4602	ɪfˈɛktɪvnəs	N/A	N/A	فاعلية, تأثير, فعالية	效力	Wirksamkeit, Effektivität	αποτελεσματικότητα	efficiency, productivity; impressiveness, quality of being striking	efficacité	efficacia	有効	유효, 유효성, 효력; 인상적임, 눈에 띔	efficiëncy, doeltreffendheid	efetividade	эффективность, действенность	efectividad, eficacia	effektivitet, verksamhet	N/A	etkileyicilik, geçerlilik, itibar, etki, geçerlik
elaborate	adj.	6435	13065	ɪlˈæbrət	elaborates elaborated elaborating	N/A	مفصل, دقيق, مدروس	N/A	ausführlich, genau geplant, sorgfältig ausgearbeitet, reichhaltig	επεξεργασμένος, λεπτομερής, περίτεχνος, περίπλοκος	detailed, complicated; carefully planned, worked out in great detail	raffiné, minutieux, soigné, compliqué	elaborato, minuzioso, dettagliato, particolareggiato; complicato, intricato	念入りな	공들인; 섬세한, 정교한	volmaakt; goed ontworpen	elaborado; aprimorado; programado	детально разработанный, тщательно разработанный, тщательно сделанный, искусно сделанный, продуманный, сложный, выработанный, усовершенствованный	elaborado, complejo, complicado, estudiado, labrado	utarbetad, genomtänkt	N/A	özenli, dikkatle hazırlanmış, ayrıntılı
elastic	adj.	19301	11129	ɪlˈæstɪk	elastics	flexible expandable stretchy resilient flexible supple stretch adaptable changeable	قابل للتمدد, مرن, متمغط, نسيج متمغط, لدن, لين	N/A	flexibel; elastisch	ελαστικός	able to return to its original shape after being stretched or pulled; flexible, springy, rubbery, accommodating, adaptable	élastique, flexible	elastico; (fig) dotato di capacità di ricupero	弾力のある; 融通の利く; 回復の早い	탄력 있는, 늘어 날 수 있는; 유연한, 고무같은 탄성이 있는	rekbaar, soepel, elastisch	elástico; flexível	эластичный, упругий, гибкий, приспособляющийся, быстро оправляющийся	elástico, flexible	tänjbar; elastisk	N/A	elastik, esnek, uyumlu, lastikli
elasticity	n.	18396	22315	ˌilˌæstˈɪsəti	elasticities	stretch flexibility suppleness softness spring	مرونة, تمغط, ليونة	弹力, 弹性	Flexibilität; Elastizität	ελαστικότης, ελαστικότητα	stretchiness, elastic quality	élasticité, souplesse, tonicité	elasticità; adattabilità; capacità di ricupero	弾力; 融通性	탄력, 신축성	soepelheid, elasticiteit	elasticidade, flexibilidade	эластичность, упругость	elasticidad	tänjbarhet, elasticitet	ความยืดหยุ่น ความอ่อนตัว, ลักษณะยืดหดได้	elastikiyet, esneklik
electron	n.	8709	6592	ˌɪlˈɛktrɑn	electrons	N/A	الإلكترون شحنة سالبة	电子	Elektron, negativ geladenes Elementarteilchen	ηλεκτρόνιο	negatively charged particle which is a fundamental component of matter and exists independently or outside the nucleus of an atom (Physics, Chemistry)	électron (particule élémentaire de l'atome, petite particule électrique)	elettrone (componente base della materia, elemento dell'atomo, particella elettrica)	電子（物理学; 化学）	전자, 원자핵 밖이나 독립적으로 존재하는 사물의 기본적인 원소입자	elektron (bestanddeel van atoom)	elétron, parte fundamental da matéria, parte da estrutura do átomo, pequena partícula elétrica (Física, Química)	электрон	electrón	elektron (grunddel i material, del av atomens struktur, mycket liten elektronisk partikel)	อิเล็กตรอน หน่วยเล็กที่สุดของอะตอม	elektron, negatif elektrik atomu
elementary	adj.	10265	3217	ˌɛləmˈɛntri	N/A	N/A	ابتدائي, بسيط, أولي, أحادي, عناصري	N/A	grundlegend, elementar; unentwickelt	N/A	basic, fundamental	simple, élémentaire	elementare, rudimentale	初歩の; 単純な	기본이 되는, 초보의, 초보적인, 기초적인	basis, elementair	elementar, básico	элементарный, простой, первичный, первоначальный, начальный, неразложимый	elemental, introductivo, introductorio, rudimentario	elementär, grund-	เบื้องต้น พื้นฐาน	temel, asıl, basit, ilkel, saf, doğa güçleri ile ilgili, başlangıç, ilk
elevate	v.	42768	29875	ˈɛləvˌeɪt	elevates elevated elevating	advance raise lift exalt raise elate promote further improve	رفع, شيد, نشط, هذب	N/A	hochheben, erheben, aufschütten; aufwerten	ανυψώ, εξυψώ, ανυψώνω	glorify, exalt; lift, raise high, move up to a higher position	élever; rehausser, hausser	elevare, sollevare, alzare; innalzare; migliorare, nobilitare	高める; 上げる, 上昇させる	기분을 북돋우다, 의기 양양하게 하다; 올리다, 승진시키다, 높이다	opheffen, opslaan; verhogen; verheffen	elevar; entusiasmar; erguer	повышать, поднимать, возвысить, облагораживать, улучшать	elevar, alzar; elevarse, ascender; enardecer; enarbolar, encumbrar, levantar	lyfta, höja; lyfta upp, höja upp, upphöja	N/A	yükseltmek, kaldırmak, cesaretlendirmek
elevation	n.	14236	8603	ˌɛləvˈeɪʃən	elevations	increase rise height altitude	ارتفاع, رفع, علو, تل, رابية, إنتفاخ في الجلد, سمو, نبل	海拔, 提高, 仰角	erhöhte Lage; Hochebene	ανύψωση, ύψωμα, υψόμετρο, ύψωση	height of something; altitude above sea or ground level; raising, lifting up; grandeur	élévation, altitude; hauteur, plateau	elevazione; altezza; innalzamento; (fig) elevatezza, nobiltà; (Arch) prospetto; (Topogr) quota; (Mat, Artigl) angolo di elevazione	高さ; 高所; 上昇; 海抜; 気高さ	높이; 해발, 고도; 올리기, 들어올리기; 숭고함, 고상함	hoogte, ophoging	elevação; altitude; orgulho	поднятие, повышение, пригорок, возвышенность, высота, высота над уровнем моря; подъем; фасад	elevación, alzado, alzamiento, ascenso, encumbramiento, levantamiento; altura, eminencia	upphöjande, lyftande; stigning	การยกให้สูงขึ้น การเลื่อนฐานะ	yükseltme, irtifa, kaldırma, yükselti, yükseklik, eğim, dikey kesit, moral verme
elimination	n.	12466	9435	ɪlˌɪmənˈeɪʃən	eliminations	purging exclusion eradication abolition riddance removal	إزالة, طرد, حذف, تخلص من, إقصاء عن, قضاء	除去, 消除, 消灭	Entfernen; Eliminieren (Algebra)	εξάλειψη, αποβολή	removal, act of getting rid of; omission, act of leaving out; process of solving simultaneous equations by removing the variables (Algebra)	élimination	eliminazione	除去; 省略; 排除; 消去（代数）	제거, 없앰; 생략, 삭제; 소거법 ( 수학 대수)	eliminatie; verwijdering, uittrekken (algebra.)	eliminação; retirada; eliminação (algébrica)	исключение, отобранный путем отсева, устранение, элиминация	eliminación, descarte; aniquilación, aniquilamiento, anonadación, erradicación, exterminio, supresión	avlägsnande; eliminera (algebra)	N/A	eleme, giderme, çıkarma, atma, eliminasyon, yok etme
elite	n.	11747	5181	ɪlˈit	elites élite	N/A	نخبة, صفوة, طبقة راقية, زهرة	精华, 精锐, 中坚分子	Elite, Spitze, sozial erhabene Gruppe, obere Klasse; Schriftgröße auf einer Schreibmaschine	εκλεκτοί, αφρόκρεμα	something which is the best, choicest part of something; socially superior group, upper class; size of type on a typewriter	élite, ce qu'il y a de meilleur; classe supérieure, groupe de personnes considérées comme les meilleurs (les plus remarquables d'une communauté); caractère d'imprimerie	élite, casta, fior fiore, crema; gruppo ristretto di persone che si distingue per superiorità economica o intellettuale	えり抜きのもの; エリート, 社会的に優れたグループ	엘리트, 우수한 것, 탁월한 것; 상위층, 고위층	elite, iets wat het beste, uitverkoren gedeelte van iets; maatschappelijk hoogstaande klasse; grootte van zetsel op een schrijfmachine	algo que é o melhor, a melhor parte de algo; grupo social superior, alta sociedade; tamanho de tipo em uma máquina de escrever	элита, отборная часть, цвет	elite	elit, gräddan	ตัวพิมพ์ดีดแบบหนึ่ง มีขนาด 12 ตัวอักษรต่อความยาว 1 นิ้ว แบบของตัวพิมพ์ที่มีขนาด 12 ตัวอักษรต่อ 1 นิ้ว (น้อยกว่า 5 ตัวอักษรต่อ 1 เซนติเมตร)	elit tabaka, seçkinler, seçme kısım
embed	v.	73109	23463	ɪmbˈɛd	embeds embedded embedding	N/A	رسخ	N/A	einbetten	ενθέτω, χώνω μέσα	insert, inlay, drive in, implant	encastrer	incastrare, incassare; (fig) imprimere, incidere; includere	埋め込む	깊숙이 박다, 끼워 넣다	vast zetten	entalhar, encaixar, embutir, incrustar	вставлять, врезать, вделывать, встраивать, запечатлеть, внедрять	incrustar, empotrar, encastrar	placera	N/A	yerleştirmek, gömmek, oturtmak, kafasına sokmak
emergence	n.	6809	12531	ɪmˈɜdʒəns	emergences	surfacing appearance materialization	خروج, انبثاق, بزوغ, نشوء	出现, 浮现, 发生	Hervortreten, Auftauchen, Aufkommen	εμφάνιση	appearance, coming out, revelation	émergence, apparition	emersione; (Biol) emergenza	出現	출현, 드러남, 발생	ontdekking, openbaring, verschijning; groei, opkomst	emersão, surgimento, florescimento	выход, появление, возникновение, всплытие, выявление	surgimiento, afloramiento, emergencia	uppkomst, uppdykande, utveckling	N/A	çıkma
emission	n.	11500	6328	ɪmˈɪʃən	emissions	production discharge secretion emanation release	إصدار, إطلاق, لفظ, برنامج, انبعاث, شىء منبعث	发射, 射出, 发行	Emission, Entleerung; Ausgabe (von Wertpapieren)	εκπομπή, έκδοση	discharge, emanation; ejection of fluids from the body	émission	emissione; emanazione; eiaculazione; eiaculato spermatico	放射; 放出; 排出; 放射物; 放出物; 排出物	방사, 발행, 배기, 서정	afgifte; uitzending	emissão; saída; ejaculação	эмиссия, излучение света, выделение теплоты, распространение, выпуск (денежных знаков), поллюция	emisión, emanación; edición	emission; utstömmande	การปล่อยออกมา	yayınlama, yayma, emisyon, çıkarma
emit	v.	42152	22982	ɪmˈɪt	emits emitted emitting	N/A	لفظ ( كلمة ونحوها ), نفث, أرسل, انبعث, عبر, أصدر, انتشر, قذف	N/A	aussenden, ausscheiden	αναδίδω, εκπέμπω	send out, discharge, give off; express	émettre, dégager, lancer	emettere, mandar fuori; emanare; esalare; lanciare; esprimere, pronunciare; (Rad) trasmettere	放射する; 放出する; 排出する; 発する; 噴出する; 送る; 吐く	방사하다, 방출하다, 내뿜다; 표현하다	uitwerpen, uitscheiden	emitir; retirar; deixar escapar	испускать (свет), излучать, выделять, издавать звук, извергать	emitir, despedir, desprender, dimanar, dirigir emisiones de, emanar, radiar	sända ut, avge	N/A	çıkarmak, yaymak, yayınlamak, belirtmek, ifade etmek
emperor	n.	7984	9294	ˈɛmpɜɜ	empress emperors empresses	sovereign monarch ruler	إمبراطور, قيصر	皇帝, 君主	Kaiser, Herrscher	αυτοκράτωρ, αυτοκράτορας	ruler, sovereign, monarch	empereur (souverain, roi)	imperatore; (Entom) specie di apatura	皇帝; 天皇	황제	keizer	imperador (rei)	император, формат бумаги	emperador	kejsare (härskare, kung)	จักรพรรดิ์ กษัตริย์, ฮ่องเต้, ผู้ครองจักรวรรดิ์	imparator
empirical	adj.	5814	9154	ˌɛmpˈɪrɪkəl	N/A	N/A	تجريبي	N/A	empirisch, versuchsmäßig	εμπειρικός	learned through observation, capable of being verified or disproved through experiments and experience	empirique, qui s'appuie sur l'expérience, appris à travers l'observation	empirico	経験を基礎とする; 経験主義の; 経験的な; 経験論の	관찰을 통한, 경험적인, 경험주의의	empirisme, gebaseerd op ervaring	empírico	эмпирический, основанный на опыте	empírico	empirisk, experimentell	ซึ่งได้จากประสบการณ์หรือการทดลองมากกว่าทฤษฎี เชิงประจักษ์	deneysel, görgül
encode	v.	59801	16423	ɛnkˈoʊd	N/A	N/A	حظيرة	N/A	verschlüsseln	N/A	encrypt, convert a message into code (especially a secret code); put data into digital form (Computers)	encoder	(inform.) codificare, trascrivere in codice; criptare, rendere i dati in forma digitale	暗号にする; 符号化する（コンピュータ）	암호로 바꿔 쓰다; 디지탈 형태로 바꾸어 정보를 입력하다 (컴퓨터)	coderen	codificar, criptografar, escrever em códigos; passar informação para a forma digital (Comp.)	шифровать, кодировать	codificar, poner en código	koda, skriva i kod	N/A	şifrelemek, kodlamak
enforcement	n.	6822	3242	ɛnfˈɔrsmənt	N/A	N/A	طوق, تنفيذ, تطبيق, تقوية	执行, 强制	Zwang, Durchsetzung, Vollstreckung	επιβολή	execution, putting into force, act of enforcing	exécution, mise en vigueur, contrainte	applicazione; costrizione, imposizione; il far valere	執行; 強制	시행, 강제시행, 실시	(het) opleggen (v.d. wet)	aplicação, coação, coerção	давление, принуждение	ejecución	framtvingande	การบังคับใช้ การบังคับใช้ตามกฎหมาย, การดำเนินการ	uygulama, zorlama, infaz
enormously	adv.	9256	25887	ɪnˈɔrməsli	N/A	N/A	بشكل هائل, جدا	N/A	enorm, groß, mächtig	N/A	immensely, gigantically, hugely	énormément	enormemente	莫大に, 膨大に	막대하게	enorm, geweldig groot	de forma imensa	чрезвычайно, крайне	enormemente, descomunalmente, desmesuradamente, inmensamente	enormt	อย่างร้ายกาจ อย่างชั่วร้าย, อย่างเลวทราม	çok
entity	n.	7152	4066	ˈɛntəti	N/A	body creature person being article individual unit thing	وجود, كينونة, كيان	实体, 实存物, 存在	Entität, Existenz	οντότητα, ύπαρξη, ουσία	being, something that exists; thing; essential nature	entité, réalité	essere, esistenza; entità	実在物; 実在	실재, 존재하는 것; 실재물; 본질, 실질	wezen, bestaan, realiteit	entidade, realidade; coisa	бытие, нечто реально существующее, вещь, объект, сущность, существо, организм, организация	entidad, ente, organización	självständighet, existens	เอกลักษณ์ (ทางปรัชญา)	varlık, varoluş, öz, tüzellik
entrant	n.	35329	33249	ˈɛntrənt	N/A	competitor applicant candidate participant contestant	الداخل ألاول, المشترك في مباراة, مشارك, منافس	新会员, 新成员, 进入者	Teilnehmer, Eintretender	N/A	one who enters, one who goes in; one who becomes a member; one who participates in a contest	débutant; concurrent; participant	chi entra; (Univ, Scol) nuovo studente; nuovo socio; concorrente, partecipante, competitore	新入; 新入生; 新入社員; 参加者	들어가는 사람, 참가자, 참가자 동물, 입회자	binnentredende, nieuweling, deelnemer (wedstrijd)	participante	вступающий в должность, приступающий к отправлению обязанностей, заявленный участник	candidato, competidor; persona recién ingresada, miembro nuevo	inträdande, nytillträdande	N/A	giren kimse, girişimci, kaydolan kimse, yarışmacı, aday
enzyme	n.	10088	8500	ˈɛnzˌaɪm	N/A	N/A	إنزيمة, خميرة	酶	Enzym	ένζυμο	protein which catalyzes chemical processes	enzyme	enzima	酵素	효소, 화학적 반응을 일으키게하는 단백질	enzym (biologische catalisator)	material solúvel, enzima	энзим, фермент	enzima	enzym, jäsande ämne	เอนไซม์ โปรตีนที่ควบคุมปฏิกริยาทางชีวเคมีในร่างกาย	enzim, ferment
epidemic	adj.	14511	13500	ˌɛpədˈɛmɪk	epidemics	plague craze widespread wave endemic pandemic sweeping rife endemic prevalent rampant outbreak rash contagion spate scourge	وبائي, سائد, شائع	N/A	epidemisch, seuchenartig	επιδημιακός	(about a disease) affecting many people at once; widespread, very common	épidémique	epidemico	（病気について）流行性の, 流行している	유행병의, 전염성의; 유행하고 있는	epidemisch	epidêmico, da epidemia	эпидемический	epidémico	epidemisk, epidemi-	N/A	salgın, yaygın
epidemiology	n.	32939	10889	ˌɛpədˌɛmiˈɑlədʒi	N/A	N/A	علم الأوبئة	传染病学, 流行病学	Epidemiologie (med. Epidemieforschung)	N/A	branch of medical science dealing with epidemics and their treatments	épidémiologie (étude des épidémies, en médecine)	epidemiologia (studio della distribuzione e controllo delle malattie)	疫学	유행병학, 전염병학, 역학	epidemiologie (in de geneeskunde - onderzoek van epidemien)	epidemiologia (estudo das relações entre os fatores causadores de enfermidades, sua distribuição e freqüência)	эпидемиология	epidemiología	epidemiologi (forskning om epidemier)	ระบาดวิทยา การศึกษาเกี่ยวกับสาเหตุและการแพร่ของเชื้อโรคในประชากร	epidemioloji, salgın hastalıklar bilimi
equality	n.	6241	6823	ɪkwˈɑləti	equalities	N/A	مساواة, تساو, تعادل, اطراد, استواء	平等, 均匀, 相等	Gleichheit, Gleichberechtigung	ισότητα	equal state; sameness, uniformity	égalité	uguaglianza, eguaglianza, parità	等しいこと; 均一性; 平等	평등, 대등한 상태; 동등, 동질성	gelijkstelling	igualdade	равенство, равноправие	igualdad, congruencia, paridad	jämlikhet	ความเท่าเทียม ความเสมอภาค	eşitlik, denklik, eşlik, seviye
equilibrium	n.	5515	8948	ˌikwəlˈɪbriəm	equilibria equilibriums	N/A	توازن	平衡, 平静, 均衡	Gleichgewicht	ισοζύγιο, ισορροπία	balance, state in which all forces act in perfect opposition and cancel the effects of one another	équilibre	equilibrio	釣り合い; 平静	평형, 평형상태	evenwicht	equilíbrio	равновесие, уравновешенность	equilibrio, balance, balanceo, estabilidad, estabilización	jämvikt	ความสมดุลของร่างกาย	karalılık, denklik, denge, tarafsızlık
equivalence	n.	19880	17097	ɪkwˈɪvələns	equivalences	uniformity correspondence equality likeness sameness similarity	مساواة, تساو	同等, 等价, 等值	Gleichwertigkeit, Wertgleichheit	ισοροππία	quality of being equivalent, equality of value, equality of importance	équivalence	equivalenza	同等; 等積; 同値; 等量; 等値	가치의 동등, 동등한 상태, 중요성의 동등	gelijkwaardigheid	equivalência	эквивалентность, равноценность, равнозначность	equivalencia	likvärdighet, motsvarighet	N/A	eşitlik, denklik, karşılığı olma
erase	v.	35525	13614	ɪrˈeɪs	erases erased erasing	N/A	محا, انمحى	N/A	löschen	σβήνω, εξαλείφω	rub off, totally remove	effacer	cancellare; (sl) uccidere, (gerg) far fuori	消す, 消去する; ぬぐい去る; 抹消する	문질러 지우다, 완전히 없애다	uitwissen, uitvegen	apagar	стирать, соскабливать, выскабливать, подчищать, вычеркивать, изглаживать из памяти, убивать	borrar, cancelar, obliterar	radera	N/A	silmek, kazımak, temizlemek, öldürmek, silip atmak
essence	n.	5000	7804	ˈɛsəns	essences	N/A	قلب, جوهر, ماهية, الذات, روح, محلول مادة, عطر, خلاصة	实质, 本质, 香精	Essenz, Hauptsache, Wesentliche	ουσία, μύρο, αιθέριο έλαιο, απόσταγμα	inherent nature of something, spirit, central or outstanding characteristic; extract obtained from a plant or other substance by means of distillation; perfume, scent	essence, fond, essentiel	essenza, sostanza, intima natura; estratto; (Chim) olio essenziale	本質; エキス	본질, 정수; 추출물, 식물이나 다른 물질에서 증수하여 얻은 물질; 향수	kern, hoofdzaak, essentie	essência, a importância	сущность, существо; эссенция, экстракт; духи, аромат; бензин	esencia, ser	väsentlig egenskap, innersta väsen	ส่วนสำคัญของพืชที่ถูกสกัดออกมา	esas, öz, cevher, ruh, nitelik, esans
essentially	adv.	2814	6423	ɛsˈɛnʃəli	N/A	fundamentally basically broadly largely effectively really	خاصة, أساسيا	N/A	wesentlich, unabdingbar; hauptsächlich, im Grunde	N/A	basically, fundamentally; mainly, primarily	essentiellement	essenzialmente	本質的に	본질적으로; 주요하게	essentieel, nodig, fundamenteel	essencialmente, basicamente, principalmente	по существу, существенным образом	esencialmente, en esencia, fundamentalmente, imprescindiblemente, substancialmente	i grunden, i grund och botten, i själva verket; i huvudsak	โดยพื้นฐาน อย่างสำคัญ, อย่างจำเป็นอย่างยิ่ง	aslen, aslında, esasen
estimation	n.	17341	8964	ˌɛstəmˈeɪʃən	estimations	N/A	تثمين, رأى, تقدير, احترام, وجهة نظر, تخمين, اعتبار	判断, 估计, 尊重	Bewertung, Schätzung, Einschätzung	εκτίμηση, υπόληψη, κρίση	assessment, judgment, opinion	évaluation, estimation	giudizio, parere, avviso; stima, considerazione; valutazione, calcolo; preventivo	判断; 見積もり; 尊重	판단, 가치의 판단, 견적, 의견	(hoog)achting, schatting	estimação, avaliação	оценка, суждение, мнение; уважение; расчет, вычисление	estimación, aprecio, cálculo, consideración	uppskattning, värdering	ความเคารพ ความนับถือ	görüş, keşif, kanı, takdir, fikir, tahmin, değerlendirme, itibar, paha biçme, saygı
ethical	adj.	7294	5897	ˈɛθɪkəl	N/A	N/A	أخلاقي, متعلق بالاخلاق	N/A	moralisch einwandfrei, ethisch	ηθικός	moral, pertaining to values and principles	moral, éthique	etico, morale	倫理の; 倫理学上の; 道徳的な; 道義にかなった	윤리적인, 윤리학적인, 도덕적인	moreel, etisch	ético, moral	этический, этичный, моральный, нравственный	ético	etisk, moralisk	ตามหลักจรรยา ตามหลักจริยธรรม	ahlâki, ahlâka uygun, ahlâklı, törel, reçete ile verilen
ethics	n.	8966	4083	ˈɛθɪks	N/A	N/A	علم الأخلاق, آداب المهنة, أخلاق	道德规范	Ethik, Moral	ηθικολογία, ηθολογία, δεοντολογία, ηθική	set of moral principles or values, principles of conduct governing an institution, or an individual	éthique, morale, les principes de la moralité	morale, etica; filosofia morale	倫理学; 倫理, 道徳	윤리학, 도덕 원리	ethiek, zedenleer	ética, princípios	этика, мораль	ética, moral, moralidad	etik, moral, principer, sedelära	จริยศาสตร์ จริยธรรม, ธรรมจริยา, หลักศีลธรรม	ahlâk kuralları, ahlâk, törebilim
evident	adj.	3712	8486	ˈɛvədənt	N/A	N/A	واضح, جلي, ظاهر, ناصع, بين	N/A	klar, erkennbar, offensichtlich	καταφανής, ολοφάνερος, έκδηλος	clear, obvious, apparent	évident, clair, manifeste	evidente, chiaro, manifesto, ovvio	明白な	분명한, 명백한	duidelijk, aanzienlijk, zichtbaar	evidente, óbvio, manifesto, claro	очевидный, явный, бросающийся в глаза, кажущийся	evidente, aparente, fehaciente, flagrante, indiscutible, inequívoco, llano, notorio, obvio, ostensible, ostensivo, palpable, patente, visible	tydlig, uppenbar, synlig	ชัดแจ้ง ปรากฏชัด, ชัดเจน	belirgin, besbelli, açık, aşikâr, apaçık, ortada
evolutionary	adj.	7685	10467	ˌɛvəlˈuʃənˌɛri	N/A	N/A	تطوري, نشوئي,ev·o'lu·tion·ar·y / ‚evə'luːʃənərɪ /ɪːv-	N/A	entwicklungsmäßig, evolutionär,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	N/A	of or pertaining to evolution, developmental, progressive, gradually changing,ev·o'lu·tion·ar·y || ‚evə'luːʃənərɪ /ɪːv-	évolutionnaire, avancé,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	evolutivamente,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	進化の,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	진화적인, 진화론적인, 점차적으로 변하는, 발전하는,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	evolutie(theorie),ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	evolucionário, evolutivo,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	эволюционный,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	evolucionista, evolutivo,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	evolutions-, utvecklings-,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-	N/A	evrimsel, gelişme ile ilgili,ev·o'lu·tion·ar·y / ‚evə;'luː;ʃ;ə;nə;rɪ; /ɪ;ː;v-
ex	prep.	14668	1935	ˈɛks	N/A	earlier previous past	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	den dışarı, de teslim, olmaksızın, olmadan, sız, siz
