英単語,訳,発音,解説,用例,用例・訳
confrontation,"【名/U】≪…との≫対決,対面,直面≪with≫",ˌkɑnfrənˈteɪʃən,"(…との)対決,対面,直面《+『with』+『名』》",the government was not ready for a confrontation with the unions,政府は、組合と対立する心積もりができていなかった
conglomerate,複合企業体；寄せ集まった,kənˈglɑmərət,"固まりになった;密集した 
礫岩(れきがん)の 
複合企業の 
(いろいろな物の)集合体;丸いかたまり 
礫岩 
複合企業 
…'を'集めて丸く固める 
丸く固まる",The conglomerate acquired a new company,複合企業は新しい会社を獲得した
congressional,米国議会の; (一般に)国会の; 会議の,kənˈgrɛʃənəl,"会議の 
《米》国会の",The first committee meeting will be held at the Congressional office building.,議員会館で委員会の初会合を開く
congressman,議員,ˈkɑŋgrəsmən,"国会議員,下院議員","The FBI has a long history of illicit wiretapping, followed by use of the information gained for blackmail, including blackmail of Congressmen and Presidents.
","FBI は 、 違法 な 盗聴 を ながい こと つづけ て いる し 、 盗聴 の あと は 、 その 情報 を 脅迫 （ 議員 や 大統領 に対する 脅迫 も 含め ） に 使っ て いる 。
"
conjunction,接続詞,kənˈʤʌŋkʃən,"〈C〉『接続詞』(and,but,for,sinceなど) 
《文》〈U〉〈C〉結合,連結;(事件などの)同時発生 
〈U〉合(ごう)(二つ以上の天体が同じ黄経上にあること)","The shoulder joints, as well as moving on their own, also move in conjunction with arm movements.",肩関節は、単独で動くほか、腕の動きにも連動して動きます。
conscious,意識して,ˈkɑnʃəs,"《補語にのみ用いて》『気づいている』,知っている,意識している 
《補語にのみ用いて》(…に)『反応を示す』,意識(知覚)のある《+『to』+『名』》 
《名詞の前にのみ用いて》『意識した』,わざとらしい 
考えることができる,意志のある",I think she was conscious of being stared at by many boys.,彼女は大勢の少年たちに凝視されているのを意識していたと思う。
consecutive,連続的な,kənˈsɛkjətɪv,"(間をおかず)連続した,引き続く 
(論理的に)一貫性のある",It snowed for ten consecutive days.,雪が１０日間も降り続いた。
consensus,コンセンサス；合意；総意,kənˈsɛnsəs,"(多人数の意見などの)一致,調和《+『of』+『名』》;一致した意見,総意",The Prime Minister stated that he would not introduce a new tax without the consensus of public opinion.,首相は国民の合意がなければ新税は導入しないと言明した。
consent,【動/自】同意する　【名/U】同意,kənˈsɛnt,"(…に)『同意する』,承諾する《+『to』+『名』(do『ing』)》 
…‘に'同意する,替成する 
『同意』,承諾,許可",Her father reluctantly consented to her marriage.,父親はしぶしぶ娘の結婚に同意した。
conservation,保全,ˌkɑnsərˈveɪʃən,"保存,(特に自然環境の)保護","Another, of still wider grasp and more radical significance, is the doctrine of the Conservation of Energy, the ultimate philosophical issues of which are as yet but dimly seen—
","かなり 広く 理 解さ れ もっと 根源 的 な 重要 性 を もつ こうした 一般 化 の 別 の 例 として は 、 今 の ところ 漠然と し か 理解 さ れ て い ない 究極 の 哲学 問題 で ある 、 エネルギー 保存 の 学説 が あり ます 。
"
considerably,かなり,kənˈsɪdərəbli,"『かなり』,相当に,非常に",Her health seems to have improved considerably of late.,彼女は最近ずいぶん健康をとりもどしたようだ。
consistency,一貫性,kənˈsɪstənsi,"〈U〉(言語・論理などの)一致,一貫性 
〈U〉〈C〉(特に液体の)濃度,濃さ;(物質の)堅さ,ねばり","In the next place, the consistency of the coats of which the arterial vein and the great artery are  composed, sufficiently shows that the blood is impelled  against them with more force than against the veins.
","次に 、 動脈 と 、 大動脈 が でき て いる 血管 の 壁 の 密度 を 見る と 、 静脈 と 比べ て こちら の ほう が 、 高い 圧力 の 血液 が 押し付け られる よう に なっ て いる こと を 充分 に 示し て いる 。
"
consistently,一貫して,kənˈsɪstəntli,"一貫して;矛盾なく,きまって","John consistently underachieves, although he is very able",ジョンはとても有能であるけども常に成績が振るわなかった
consolidate,統合する,kənˈsɑlɪˌdeɪt,"〈組織など〉'を'固める,〈地位・勢力・知識など〉'を'強化する 
…'を'一つにする,'を'合わせて(…に)する《+『名』+『into』+『名』》",The company announced the interim consolidated settlement of accounts on the 16th.,１６日に会社側が中間期の連結決算を発表しました
consolidation,合併,kənˌsɑləˈdeɪʃən,"強化 
合併,合体",he dropped the consolidation into the acid bath,彼は凝固物を酸浴槽に落とした
consortium,コンソーシアム；連合体；企業連合,kənˈsɔrʃiəm,"(共通の事業のための)資本連合,企業連合","The prize was claimed in five months by a loose consortium using computers scattered around the Internet.
","5 ヶ月 後 に その 賞金 を 獲得 し た の は 、 インターネット 中 に ちらばっ た コンピュータ を 使っ た ゆるい 連合体 だっ た 。
"
conspiracy,陰謀,kənˈspɪrəsi,"陰謀,たくらみ;陰謀団",I think overestimating the people masterminding that conspiracy is exactly what they want.,その陰謀を画策してる人たちを必要以上に大きく見てしまうことは、まさに彼らの思うツボだと思います。
constituency,選挙区；(選挙区の)有権者；支援団体；購買層,kənˈstɪʧuənsi,"〈C〉選挙区;〈U〉《集合的に》選挙民 
〈U〉《集合的に》支持者","Takashi HARA who took office as the Minister of Home Affairs sought to introduce a single-member constituency system to the election of members of the House of Representatives, but it was rejected due to the oppose of the House of Peers of Japan.
","内務大臣(日本)に就任した原敬は衆議院議員選挙に小選挙区制を導入しようとするが、貴族院_(日本)の反対で否決された。
"
constituent,成分,kənˈstɪʧuənt,"(またconstitutive)(ある物の)構成要素の 
選挙権(指名権)のある,憲法制定(改正)権のある 
(ある物質の)成分,[構成]要素 
選挙有権者,選挙人",needs continued support by constituents to be re-elected,再選されるために有権者に継続的な支援を必要とする
constitution,憲法,ˌkɑnstəˈtuʃən,"〈U〉(物の)『構成』,構造《+『of』+『名』》 
〈C〉〈U〉『体格』,体質,性分質,気質 
〈C〉政体 
〈C〉『憲法』,国憲 
《the C-》合衆国憲法 
〈U〉(制度などの)制定…(機関なとの)設立",The President suspended the constitution and imposed martial law.,大統領は憲法を停止し、戒厳令をしきました。
constitutional,憲法の,ˌkɑnstəˈtuʃənəl,"体質の,生まれつきの;構成上の 
憲法の,立憲の 
《話》健康のための散歩",It was under these circumstances that the constitutional crisis began.,憲政の危機が始まったのは、このような状況のもとであった。
constrain,"【動/他】強いる,抑制する",kənˈstreɪn,"《『constrain』+『名』+『to』 do》 
〈人〉'を'押さえつけて動けないようにする,〈怒りなど〉'を'抑えつける",The government finances are severely constrained because of falling tax revenues.,国の財政は税収の落ち込みできわめて逼迫している。
constructive,建設的,kənˈstrʌktɪv,"建設的な 
構成の,構造上の",All you ever do is nitpick. I wish you could say something more constructive.,人の揚げ足を取るばかりじゃなく、もっと建設的な意見を言ってくれないかな。
consultancy,コンサルタント会社；専門的なアドバイス,kənˈsʌltənsi,(病院の)相談係,"(3) Notwithstanding the provisions of paragraph (1), an attorney (including a legal professional corporation; the same shall apply in the following paragraph), judicial scrivener (including a judicial scrivener corporation; the same shall apply in the following paragraph), land and house investigator (including a land and house investigation corporation; the same shall apply in the following paragraph), certified public tax accountant (including a certified public tax accounting corporation; the same shall apply in the following paragraph), social and labor insurance public consultant (including a social and labor insurance public consultancy corporation; the same shall apply in the following paragraph), patent attorney (including a patent professional corporation; the same shall apply in the following paragraph), marine procedure commission agent, or administrative scrivener (including an administrative scrivener corporation) may request the issuance of a transcript of a family register, etc. if he/she needs it in order to execute business concerning a case or clerical work that he/she has undertaken. In this case, the person who makes the request shall clarify his/her qualifications, the type of the business, the name of the client in the case or the clerical work, and the matters specified in the items of paragraph (1) regarding said client.
","３　第一項の規定にかかわらず、弁護士（弁護士法人を含む。次項において同じ。）、司法書士（司法書士法人を含む。次項において同じ。）、土地家屋調査士（土地家屋調査士法人を含む。次項において同じ。）、税理士（税理士法人を含む。次項において同じ。）、社会保険労務士（社会保険労務士法人を含む。次項において同じ。）、弁理士（特許業務法人を含む。次項において同じ。）、海事代理士又は行政書士（行政書士法人を含む。）は、受任している事件又は事務に関する業務を遂行するために必要がある場合には、戸籍謄本等の交付の請求をすることができる。この場合において、当該請求をする者は、その有する資格、当該業務の種類、当該事件又は事務の依頼者の氏名又は名称及び当該依頼者についての第一項各号に定める事項を明らかにしてこれをしなければならない。
"
consultation,相談,ˌkɑnsəlˈteɪʃən,"〈U〉〈C〉(…との)相談,協議《+『with』+『名』》;専門家との相談・〈C〉協議会,(専門家の)会議",I'd like to have a consultation about getting braces.,歯列矯正についてご相談したいのですが。
consumption,"消費, 消耗, 使い果たすこと；購入；消費量；摂取；肺結核",kənˈsʌmpʃən,"『消費』《時に形容詞を伴ってa~》(…の)消費高(量) 
(体力の)消耗 
《古》肺病,肺結核",Small cars are very economical because of their low fuel consumption.,小型車は低燃費で経済的だ。
container,容器,kənˈteɪnər,"容器,入れ物(箱・かんなど);(貨物輸送用の)コンテナ",Put 2 liters of water in the container.,容器に２リットルの水を入れます
contemplate,"【動/他】をよく考える,熟考する；をじっと見つめる；を予想する【動/自】熟考する",ˈkɑntəmˌpleɪt,"…'を'『よく考える』,熟考する 
…'を'じっと見つめる 
…'を'予想する,期待する 
じっくり考える,熟考する","When I contemplate the sea, I feel calm.",海をじっと眺めていると私は気が静まる感じがする。
contend,であると強く主張する；戦う；(with A)Aに対処する,kənˈtɛnd,"(…のことで…と)『争う』(compete),戦う《+『against』(『with』)+『名』+『for』(『about』)+『名』》 
(…について…と)論争する《+『against』(『with』)+『名』〈人〉+『about』『against, for』)+『名』〈事〉》",I contended against falsehood.,僕は虚偽を論破しようと論争した。
continent,大陸,ˈkɑntənənt,"自制した,禁欲的な",There are seven continents on the earth.,地球上には７つの大陸がある。
continental,北アメリカ大陸の；大陸的な,ˌkɑntəˈnɛntəl,"大陸の,大陸的な(に特有の) 
《しばしばC-》ヨーロッパ大陸の 
《C-》(米国独立戦争当時の)アメリカ植民地の 
大陸の住人;《しばしばC-》(英国人やアイルランド人から見て)ヨーロッパ本土の人 
《C-》(米国独立戦争当時の)アメリカ兵","Now for the 'Eg.' Let us glance at our Continental Gazetteer.""
","さて Eg だ が 、 これ は 大陸 地名 辞典 で も 参照 し て みよ う 。 」
"
contingency,非常事態,kənˈtɪnʤənsi,"〈C〉偶発事件,不慮の事故;(ある事に)伴う事件 
〈U〉偶然,偶発性","The immediate contingency overtook him, pulled him back from the edge of the theoretical abyss.
","目下 の 事情 が かれ を 支配 し 、 空理空論 の 奈落 に 飛び いる 寸前 の かれ を 引き もどし た 。
"
contingent,"【名/C】派遣団,代表団；不慮の出来事【形】依存する,...次第の；不測の；偶然の；起こり得る",kənˈtɪnʤənt,"【名/C】《集合的に》《《米》単数扱い,《英》単数・複数扱い》派遣団,代表団 
分遣隊（艦隊）
不慮の出来事
【形】《補語にのみ用いて》（他の条件などに）依存する,…次第の《+『on』(『upon』)+『名』》
起こるかもしれない,不測の；偶然の；（…に）起こり得る《+『to』+『名』》 ",His success is contingent upon his efforts.,彼の成功は努力次第だ。
continually,"【副】絶え間なく,連続して；｟非難して｠しばしば, 頻繁に,四六時中",kənˈtɪnjuəli,"『ひんぱんに』,たびたび(again and again);絶えず","Human beings, whether they realise it or not, continually seek happiness.",人間は、自分でそれを意識しているといないとにかかわらず、幸福を追求し続けています。
continuity,"【名/U】連続,断続,継続性；一貫性；コンテ,撮影（録音）用台本【名/C】コンテに書かれた個々の指示",ˌkɑntəˈnuəti,"【名/U】連続,断続,一貫性
（映画・ラジオ・テレビの）コンテ,撮影用台本,録音用台本
【名/C】コンテに書かれた個々の指示","Believing as I do in the continuity of Nature, I cannot stop abruptly where our microscopes cease to be of use.
","自然 の 連続 性 を 信じ て いる かぎり 、 私 は 顕微鏡 が 使え なく なる ところ で 、 突然 止める こと など でき ませ ん 。
"
continuously,"【副】絶え間なく,連続して",kənˈtɪnjuəsli,"【副】絶え間なく,連続して,継続的に",Each of us will continuously strive to improve the environment.,一人一人が継続的に環境の改善に努めます
contractor,"【名/C】契約人,請負人；建設業者；収縮する物；収縮筋",ˈkɑnˌtræktər,"【名/C】契約人,請負人；建設業者；収縮する物；（特に）収縮筋",I cannot calculate the final cost until I talk with our contractors.,契約者と話すまでは最終的な予算を計算することはできません。
contractual,"【形】契約の,契約上の；契約で保証された",kənˈtrækʧuəl,"【形】契約の,契約上の；契約で保証された","With the backing and authority of the Kamakura bakufu, jito could (and many did) treat shoen very harshly; given their total contractual power over shoen to collect the predetermined amount for the annual tax regardless of whether it had been a good or a poor harvest, and their power forcibly to divide the land in a shoen into the jito's private section and the (absentee) owner's section, many jito were oppressive and little more than tyrants, in a sense.
","鎌倉幕府の権威を背景に荘園を侵略し、豊作凶作にかかわり無く一定額の年貢で荘園管理を一切請け負わせる地頭請や、荘園を地頭分と領家分に強引にわける下地中分など、一部で横暴も多くあった。
"
contrary,"【形】反対の；逆の,意に反した；ひねくれた【名/C】《the~》正反対；《しばしば~s》相反するもの【副】反して,逆に",ˈkɑntrɛri,"【形】『反対の』,相いれない
 逆の,逆方向の;意に反した
《話》ひねくれた,強情な,意地の悪い(perverse) 
【名/C】《the~》『正反対』
《しばしば複数形で》相反するもの；相反する性質
【副】（…の）反対に,逆に；（…に）反して《+『to』+『名』〈事〉,+『with』+『名』〈人〉》",My opinion is contrary to yours.,僕の意見は君のと反対だ。
contributor,"【名/C】寄付者；貢献者,寄与者；一助,一因；寄稿家《to》",kənˈtrɪbjətər,"【名/C】（…への）寄付者《+『to』+『名』(do『ing』)》
 （…への）貢献者,寄与者;一助,一因《+『to』+『名』(do『ing』)》
（雑誌・新聞などへの）寄稿家《+『to』+『名』》","I was one of the first GNU contributors in the mid-1980s.
","1980 年代 半ば 、 ぼく は 最初 期 の GNU 協力 者 の 一 人 だっ た し 、
"
controller,コントローラー；管理する人；監査役,kənˈtroʊlər,"管理する人,監督者,取締人 
(また『comptroller』)(会計などの)監査役;会計検査官",Air traffic controllers are under severe mental strain.,航空管制官は厳しい精神的緊張にさらされている。
controversy,論争,ˈkɑntrəˌvɜrsi,"(通例紙上での)『論争』;議論,口論",She has waded into one controversy after another.,彼女は次々と論戦に挑んでいる。
convenience,便利さ；利便性；便利なもの,kənˈvinjəns,"〈U〉『都合のよいこと』,便利,便宜・〈C〉『便利なもの』;好都合な事情;《複数形で》衣食住の便,便利な設備・《英》《文》=public convenience",Save energy by abolishing the convenience stores' 24-hour-a-day trading!,省エネのためにコンビニの２４時間営業を廃止しろ！
convenient,便利,kənˈvinjənt,"(物事が)『便利な』,使いやすい 
《補語にのみ用いて》(場所が)(…に)近い,近くて便利な《+『to』(『for』)+『名』》",This encyclopaedia is convenient for looking up things.,この百科事典は検索に便利である。
converge,一点に向かって集まる；収斂する,kənˈvɜrʤ,"(同一点・同一場所に)集まる,集中する《+『on』+『名』》 
(物理・数学で)収れんする 
…'を'1点に集める","for if, to one who governs himself with caution and patience, times and affairs converge in such a way that his administration is successful, his fortune is made; 
","と いう の は 、 自ら を 律し て 慎重 で 忍耐 強く ふるまっ て き た 人 にとって 、 彼 の やり方 が うまく いく よう に 、 時代 と 状況 が 収斂 する なら 、 彼 に は 運 は 向く でしょ う が 、
"
convergence,収束,kənˈvɜrʤəns,1点に集まること;〈C〉1点に集まった箇所,"This stance on consolidating various sects was also detected in ""Manzen Dokishu"" and, when 'Zenjo Soshu' (the Joint Practice of Zen and Pure Land) and 'Kyozen Icchi' (the Convergence of Zen and the Teachings) were advocated later on, the book written by Enju came to attract attention.
","この総合化の姿勢は、その『万善同帰集』にも見られるものであり、後世になって、「禅浄双修」「教禅一致」が提唱された時、延寿の著書が注目されることとなった。
"
conversion,変換,kənˈvɜrʒən,"〈U〉〈C〉(性質・形・機能などの)(…から…への)転換,変換,変化《+『from』+『名』+『into』(『to』)+『名』》 
〈U〉〈C〉(宗教・主義などの)改宗;(…への)帰依,転向《+『to』+『名』》","Like crypto-Christian, they also were searched severely and once arrested, they were punished or forced to submit written oaths of conversion.
","彼らは厳しい摘発を受け、隠れキリシタンのように刑罰を受けるか、改宗の誓約書を取られるかした。
"
convertible,変換できる；同義の；転換社債,kənˈvɜrtəbəl,"(用途・形・状態などが)変えられる,転換できる 
等価交換できる 
改宗させられる 
(車などが)折りたたみ式ほろ屋好がついた 
コンバーチブル型の車(船)",The convertible tooled down the street,オープンカーは通りをのんびりと走った
convey,"【動/他】《...に》を伝達する,伝える；を運ぶ,運搬する；を正式に譲渡する《to》",kənˈveɪ,"【動/他】（思想・意味など）《...に》を伝達する,伝える《to》
《…に》…'を'『運ぶ』,運搬する《+『名』+『to』+『名』》
 《…に》（財産など）を正式に譲渡する《+『名』+『to』+『名』》",Wires are used to convey electricity.,針金は電気を伝えるのにもちいられる。
convict,"【動/他】に有罪を宣告する；《AにBの》有罪判決を下す《A of B》；（罪・誤りなどを）...に悟らせる《of》【名/C】罪人,囚人",ˈkɑnvɪkt,"【動/他】（人）に有罪を宣告する
《AにBの罪状で》有罪判決を下す《A of B》
《文》《しばしば受動態で》（罪・誤りなどを）...に悟らせる《of》 
【名/C】罪人,囚人",He was convicted of murder.,彼は殺人罪の評決を下された。
conviction,"【名/U/C】確信,自信【名/U】《文》説得力,確信を抱かせること【名/U】有罪宣告【C】有罪判決",kənˈvɪkʃən,"〈U〉〈C〉『確信』,自信 
〈U〉《文》説得力,確信を抱かせること 
〈U〉有罪宣告;〈C〉有罪判決",His words carry little conviction.,彼の言葉にはあまり説得力がない。
cooperative,協同組合,koʊˈɑpəˌreɪtɪv,"協力的な,助けになる 
協力の,協同の 
協同組織の 
協同組合 
共同アパート(コーポ)",a cooperative effort,協調的努力
coordinate,うまく調整する；まとめる；調和させる；座標；等位の；対等の,koʊˈɔrdənət,"【動/他】（各部分）を調和させる
【動/自】調和して動く
【名/C】同等の人（人物）
（数学の）座標 
《複数形で》コーディネート（色やデザインを組合せた装い・家具）
【形】対等の,等位の；《Aと》同等の,同位の《with A》","Although Usenet and interview sources concede that other subtitling projects existed, the Ranma Project represented the first coordinated subtitling effort that successfully distributed its tapes throughout the country and exhibited its work at AnimeCon '91 over the hotel's video system.57
","Usenet や インタビュー の 情報 源 に よれ ば 他 の 字幕 プロジェクト も あっ た らしい が 、 らん ま プロジェクト は 全米 に テープ を 首尾 良く 流通 さ せ た 初 の 協調 型 字幕 プロジェクト の 代表 で あり 、 その 成果 は アニメ コン ' 91 で 、 ホテル の ビデオ システム 上 で 放映 まで さ れ た 注 55 。
"
coordination,同調；調整；同調関係,koʊˌɔrdəˈneɪʃən,"同等[にすること] 
(筋肉運動の)整合,釣り合い","Although debugging requires debuggers to communicate with some coordinating developer, it doesn't require significant coordination between debuggers.
","Jeff の 知見 で は 、 デバッグ する に は デバッガ は 開発 コーディネータ と 多少 の やりとり は 必要 だ けれど 、 デバッガ 同士 で は 大した 調整 は 必要 ない 。
"
copper,銅,ˈkɑpər,ポリ公,Bronze is composed of copper and tin.,青銅は銅とすずから成り立っている。
copyright,著作権,ˈkɑpiˌraɪt,"著作権,版権 
…'を'著作権(版権)で保護する;…‘の'著作権(版権)を取得する 
著作権(版権)のある","Institutionally, a major restraint is the copyright problem.",制度的に大きな枷となるのは、著作権の問題である。
corn,とうもろこし；（肉などを）塩漬けにする,kɔrn,"(足指の)たこ,魚の目(うおのめ)","They lived on corn, potatoes, and the meat of animals.",彼らは、とうもろこしやジャガイモ、動物の肉を食べて生活している。
correction,補正,kəˈrɛkʃən,"〈U〉『訂正』,修正,調整 
〈C〉訂正箇所,訂正の書き入れ 
〈U〉(よくするための)処罰,叱責(しっせき)",I believe this may be a correction after investigation of his date of birth in the family register.,これはおそらく戸籍上の出生年月日を調べた上で修正したのではないかと思います。
corrective,"【形】訂正（調整,修正,矯正）する,正しくする；訂正（調整,修正,矯正）するための【名/C】《...に対する》修正《to》；矯正手段",kəˈrɛktɪv,"【形】訂正(調整,修正,矯正)する,正しくする;訂正(調整,修正,矯正)するための 
【名/C】矯正手段
《...に対する》修正《to》",the teacher's action was corrective rather than instructional,先生の行動は教育的というよりはむしろ矯正的だった
correctly,正しく,kəˈrɛktli,"正しく,正確に;正確に言えば","First, they should have right ideas of things, ideas that are based on careful observation, and understand causes of effects and their significance correctly.",第一には、ものの見方を正しくしてその原因と結果とをよくわきまえる。
correlate,【動/他】に相互関係を持たせる；を《…と》関連させる《with》【動/自】相互に関連がある；《...と》関連がある《with》【名/C】相互関係にあるもの,ˈkɔrəˌleɪt,"【動/他】…‘に'相互関係を持たせる；…'を'(…と)関連させる《+『名』+『with』+『名』》 
【動/自】相互に関連がある;(…と)関連がある《+『with』+『名』》 
【名/C】相互関係にあるもの",this multiplication of cells is a natural correlate of growth,この細胞の増殖は、成長の自然な相関性がある
correlation,相関,ˌkɔrəˈleɪʃən,"〈C〉(…間の)相互関係《+『between』+『名』》;(…との)関連《+『with』+『名』》 
〈U〉《文》関連させること;相関関係にある状態 
〈C〉相関グラフ",what is the correlation between those two variables?,それらの2つの変数の相関関係は何ですか？
correspondent,"特派員,通信員,記者；手紙を書く人；取引先；対応[一致]するもの；〖be～〗一致[対応]して",ˌkɔrəˈspɑndənt,"『文通する人』,手紙を書く人 
(新聞・雑誌社などの)『通信員』,特派員 
《文》(…と)一致する,合致する《+『with』+『名』》 
=corresponding",He is a good correspondent.,彼は筆まめだ。
corrupt,腐敗した,kəˈrʌpt,"『わいろの利く』,不正行為をする 
(道徳的に)『腐敗した』,堕落した 
『汚れた』,汚染した;腐敗した 
(誤訳や改変のために,原文などが)改悪された;(言語が)なまった 
(わいろなどによって)〈人〉‘に'『不正行為をさせる』,'を'買収する 
(道徳的に)〈人〉'を'『堕落させる』,…を腐敗させる 
〈物〉'を'汚す,腐らせる 
(不正確に写すなどして)〈原文など〉'を'改悪する;〈言語〉'を'なまらせる 
腐敗する,堕落する",Voters must not be corrupted.,有権者は、買収されてはならない。
corruption,汚職,kəˈrʌpʃən,"(官吏などの)不正行為,汚職 
堕落 
(物の)腐敗 
(原文の)改悪;(言語の)なまり",He exposed corruption in the city government.,彼は市政の堕落を暴露した。
costly,高価な,ˈkɑstli,"『高価な』;費用のかかる 
損害(犠牲)の多い",Parking fines are very costly.,駐車違反の罰金は高い。
cotton,コットン；木綿；綿,ˈkɑtən,"『綿』,綿花 
綿の木(cotton plant) 
『綿布』,もめん 
綿糸,もめん糸 
綿製の","Their main exports are textiles, especially silk and cotton.",彼らの主たる輸出品は織物であり、特に絹と木綿である。
counterpart,"【名/C】対応する物（人）；よく似た物（人）；副本,写し ",ˈkaʊntərˌpɑrt,"(正副2通のうちの)1通,副本,写し 
対応する物(人);よく似た物(人)","Upon these networks many built their fortunes, and many more spread the knowledge and enthusiasm of Japanese animation to their American counterparts, 
","この ネットワーク 上 で 多く の 人 は 富 を 築き 、 そして もっと 多く の 人々 が 、 日本 アニメ について の 知識 と 情熱 を アメリカ の ファン たち に 広め た 。
"
counterparty,【名】取引先；取引先企業；契約相手；相手方,ˈkaʊntərˌpɑrti,【名】取引先；取引先企業；契約相手；相手方,"Article 3  The proviso to Article 95 of the Civil Code shall not apply to the cases where there is a mistake regarding any element in an electronic consumer contract in the course of making an offer or accepting the offer for an electronic consumer contract by a consumer, and when such mistake falls under any of the following items; provided, however, that this shall not apply to the cases where the business entity that is the counterparty to such electronic consumer contract (including the person entrusted by the business entity, the same shall apply hereinafter) has taken measures to confirm the consumer's intention to make an offer or to accept the offer by electromagnetic means on the visual browser, or where the consumer manifests expressly his/her intention to the business entity that there is no need for such confirmation measures.
","第三条　民法第九十五条ただし書の規定は、消費者が行う電子消費者契約の申込み又はその承諾の意思表示について、その電子消費者契約の要素に錯誤があった場合であって、当該錯誤が次のいずれかに該当するときは、適用しない。ただし、当該電子消費者契約の相手方である事業者（その委託を受けた者を含む。以下同じ。）が、当該申込み又はその承諾の意思表示に際して、電磁的方法によりその映像面を介して、その消費者の申込み若しくはその承諾の意思表示を行う意思の有無について確認を求める措置を講じた場合又はその消費者から当該事業者に対して当該措置を講ずる必要がない旨の意思の表明があった場合は、この限りでない。
"
countryside,田舎,ˈkʌntriˌsaɪd,"『いなか』,地方,田園 
《集合的に》地方の住民",His car broke down in remote countryside.,車が遠い田舎で故障してしまった。
coup,クーデター；武力政変,ku,"不意に一激 
大当たり,大成功 
=coup d'etat","Deposed in a military coup in September 2006 and having effectively been in exile, the Former premier of Thailand Thaksin has returned after about a year and a half.",２００６年９月の軍事クーデターで失脚、事実上亡命中だったタイのタクシン元首相が、約１年半ぶりに帰国した。
coupon,割引券；申し込み用紙；回数券,ˈkuˌpɔn,"クーポン(切り取って使う切符) 
(広告・商品につく)景品引き換え券,優待券 
(公債の)利札(りふだ)",I have some coupons I got last week.,私、先週貰った割引券があるの。
covariance,共分散,covariance,"【名】共分散
（2 組の対応するデータ間での、平均からの偏差の積の平均値のこと）",covariance : the mean value of the product of the deviations of two variates from their respective means,共分散：2つの変量の個別の平均からの偏差の積の平均値
covenant,"【名/C】契約,誓約,盟約 / 契約条項【動/他】を(文書で)契約する",ˈkʌvənənt,"〈C〉(両者または数人の間の)契約,誓約,盟約 
〈C〉契約条項,約款 
《the covenant》(神がイスラエル人に与えた)契約 
(文書で)…'を'契約する","Kanpei asks SENZAKI by saying, ""Let me take a part in the plot to revenge, let me seal renpanjo (a covenant with joint signatures).""
","勘平は、「仇討ちの謀議にぜひ加わらせてくれ、連判状に自分も加えてくれ」と頼む。
"
creativity,創造性,ˌkrieɪˈtɪvəti,独創性,"However, some animators, such as Hayao Miyazaki, complain that the rapid expansion of the anime industry has resulted in a dearth of creativity that is leading the industry to a dead-end.11
","だが 一部 の アニメーター 、 たとえば 宮崎 駿 は 、 アニメ 産業 が 急 拡大 し すぎ た せい で 、 業界 が 行き詰まっ て いる と 苦情 を 述べ て いる 注 9 。
"
credential,信任状,krɪˈdɛnʧəl,"【名/C】《人物・能力・信用の》証明となるもの
実勢,資格
証明書,信任状
【形】信用証明となる,信任の
【動/他】に信任状を与える","said the gentleman, presenting his credentials.
","と 、 紳士 は 委任 状 を 差出し ながら 云っ た 。
"
credibility,"【名/U】信頼性,信用性",ˌkrɛdəˈbɪlɪti,"信用できること,確実性",the lawyers tried to impeach the credibility of the witnesses,弁護士は目撃者の真実性を告発しようとした
credible,信頼できる,ˈkrɛdəbəl,"信用できる,確実な","However, such issues do not necessarily disqualify the theory&#8212;and they certainly add nothing to make Creationism more credible as a scientific theory. 
","しかし 、 こうした 問題 が 必ずしも 理論 の 資格 剥奪 に は なら ない し 、 それ に 創造 説 を 科学 理論 として もっと 信用 の おける もの に する よう な こと は 何 も 付け加え て い ない の も 確か な こと な ん だ 。
"
creditor,債権者,ˈkrɛdətər,"債権者,貸し主","but it is for the breach of duty to his family or creditors, not for the extravagance.
","しかし 、 それ は 家族 や 債権 者 にたいする 義務 の 不履行 によって で あり 、 浪費 の せい で は ない の です 。
"
criteria,基準,kraɪˈtɪriə,criterionの複数形,I set several search criteria for one item.,１つの項目に複数の検索条件を設定する
crude,"粗削りな,雑な;大ざっぱな；無礼な；みだらな；天然のままの；ありのままの；原油",krud,"(原材料が)『天然のままの』,未加工の 
(製品・作品などが)仕上がりの悪い,荒造りの 
(言葉・態度・考え方などが)粗雑な,不作法な 
=crude oil",It is only recently that crude oil has come to be used to make chemical products.,石油が化学製品の材料として用いられるようになったのはごく最近のことである。
cruise,クルーズ；遊覧航海する,kruz,"(特定の目的地を決めずに)〈船・飛行機が〉巡航(遊航)する;〈タクシーが〉流す 
〈車・飛行機などが〉巡航(経済的な)速度で進む 
〈ある地域〉'を'巡航(巡回)する 
〈飛行機・車など〉'を'巡航(経済的な)速度で進ませる 
(レジャーを目的とした)巡洋航海",She cruised the neighborhood in her new convertible,彼女は新しいオープンカーで近所をゆっくり走らせた
