英単語,訳,発音,英語の意味,解説,用例,用例・訳
unlimited,無制限,ənˈlɪmətəd,without end,"(空間的に)限りない,果てしない(boundless) 
無制限の,無条件の 
過度の,非常な(excessive)","The adjustment of reality to the masses and of the masses to reality is a process of unlimited scope, as much for thinking as for perception.  
","大衆 を 現実 に あてはめ たり 、 現実 を 大衆 に あてはめ たり し て 、 考える こと は 、 知覚 を 考える こと と 同じ くらい 、 限り の ない 射程 を 持っ た プロセス で ある 。
"
unpleasant,不快,ənˈplɛzənt,"not nice, not comfortable","『不愉快な』,不快感を与える,いやな","To compensate for his unpleasant experiences in the hospital, Tom drank a little more than was good for him.",病院で不愉快な思いをしている分を取り戻そうと思って、トムは自分の適量より少し多めにお酒を飲んだ。
unplug,電源を抜く；栓を抜く；プラグを抜く,ənˈplʌg,to pull out an electrical cord from its socket,"〈電気器具〉‘の'プラグを抜く 
…の栓(せん)を抜く",unplug the hair dryer after using it,ヘアドライアーをその使用後にプラグを抜く
unreliable,【形】信頼できない,ˌʌnrɪˈlaɪəbəl,not trustworthy,"当てにならない,信頼できない",All these devices are unreliable.,これらのすべての装置は信頼性に欠けている。
wisely,賢く,ˈwaɪzli,to do something that is the right thing to do,"『賢明にも』,思慮深く","He thought, and very wisely, that it was best to do so.",彼はそうするに限ると考えたが、それはまことに賢明であった。
wool,羊毛；毛糸,wʊl,the fur of sheep,"『羊毛』,(ヤギ・ラマなどの)毛 
『毛糸』 
『毛織物』,ウール製品 
羊毛に似たもの;(人間の)ちぢれ毛,(植物の)綿毛 
羊毛の,毛織物の,ウールの",Her dress was made of coarse wool.,彼女のドレスはきめの粗いウールでできていた。
absorb,吸収する,əbˈzɔrb,to take in or soak up,"〈液体〉'を'『吸収する』,吸い込む 
〈光・音・熱・エネルギーなど〉'を'吸収する 
〈思想など〉'を'取り入れる 
〈国・町・村など〉'を'併合する;(…に)…'を'併合する《+『名』+『into』+『名』》 
〈心・注意・時間〉'を'『すっかり奪う』",I tried to absorb as much of local culture as possible.,僕は出来るだけ多くその地方の文化を吸収しようとつとめた。
accommodate,収容できる；定員である；順応する,əˈkɑməˌdeɪt,to give something that is needed,"(必要なものを)〈人〉‘に'『便宜をはかる』,用だてる《+『名』〈人〉+『with』+『名』》 
〈人〉'を'『宿泊させる』,収容する 
(…に)…'を'『適応させる』,順応させる《+『名』+『to』+『名』》 
〈争いなど〉'を'調停する","The canal can accommodate ships as large as 150,000 dead weight tons.",その運河は１５０、０００重量トンの大きさの船を収容できる。
accomplishment,完成,əˈkɑmplɪʃmənt,something you achieve,"〈U〉完成,成就(じょうじゅ) 
〈C〉業績 
《複数形で》教養,たしなみ,才芸",the tragicomic disparity...between's man's aspirations and his accomplishments- B.R.Redman,悲喜劇的な不一致...男性の大志と彼の達成の間にある−B.R.レッドマン
accumulate,"【動/他】を蓄積する,ためる【自】蓄積する,たまる",əˈkjumjəˌleɪt,"to slowly get more and more of something, e.g. wealth","…'を'『蓄積する』,ためる 
『たまる』,ふえる",He accumulated his library.,彼は蔵書をふやした。
accuracy,正確さ,ˈækjərəsi,the state of being exact and correct,"『正確さ』,精密",He guessed the answers with great accuracy.,彼は実に正確に答えを当てた。
accurately,"【副】正確に,精密に",ˈækjərətli,when something is done correctly,"正確に,精密に,綿密に",I don't remember my father's face accurately.,僕は父の顔を正確には覚えていない。
administrative,"【形】管理[運営]の,経営の；行政の",ədˈmɪnəˌstreɪtɪv,to do with the management of an office,"『行政上の』;『管理の』,経営の","The widespread application of administrative guidance is considered to be a uniquely Japanese practice in which bureaucrats exert authority, without any legal backing, telling the private sector what to do and what not to do.",行政指導が広範囲に用いられることは、日本特有のやり方だと考えられている。これにより、官僚は民間に対して、ああしろ、こうしろ、ああするな、こうするな、という強い権限を法律の裏づけなしに行使することができる。
administrator,管理者,ədˈmɪnəˌstreɪtər,the person who manages an office,"為政者,行政官 
(遺産としての不動産の)管理者",You will receive a confirmation email after your account has been activated by an administrator.,管理人によってアカウントの認証が行われたあと、あなたに確認のメールが送られます。
admission,入場,ædˈmɪʃən,entrance into something,"〈U〉(場所・学校・会などへ)『入ることを許すこと』,入場(入学,入会)許可,(…へ)入る権利《+『to』+『名』》 
〈U〉(…への)入場料,入学(入会)金《+『to』+『名』》 
〈C〉(事実・誤りなどを)認めること,白状,容器",What a mess...I suppose there's nothing for it but restricting admissions. Handing out numbered tickets or something.,最悪・・・入場制限を設けるしかないでしょう。整理券の配布とかで。
affirmative,肯定的な,əˈfɜrmətɪv,"positive, meaning 'yes'","肯定的な 
〈U〉〈C〉肯定,是認;〈C〉肯定語 
《the ~》(討論会での)賛成者側",Debate is an academic game between the affirmative and the negative.,ディベートとは肯定側と否定側で交わされる知的ゲームである。
alert,警報,əˈlɜrt,"wide awake, aware","『油断のない』,用心深い 
(頭の回転・動作などが)機敏な 
(動作が)敏しょうな 
〈U〉《しばしばthe ~》警戒,用心 
〈C〉警報;警報発令期間 
(…に対して)…‘に'警報(警告)を出す,警戒態勢をとらせる《+『名』+『to』+『名』》",The soldiers were on the alert.,兵士達は厳戒体制にあった。
allocate,割り当てる,ˈæləˌkeɪt,to assign (usually people or money) to something,"(…に)…'を'配分する,割り当てる《+『名』+『to』(『for』)+『名』》",she allocated part of the trust to her church by appointment,彼女は財産帰属人指名により信託財産の一部を所属の教会に割り当てた
alternatively,"【副】あるいは,または；そうではなくて,その代わりに；いずれかで",ɔlˈtɜrnətɪvli,another option,"【副】《文修飾》（別の提案を切り出して）あるいは,または
そうではなくて,その代わりに
（２つ以上のうち）いずれかで；二者択一的に","You can walk, or alternatively, I'll drive you there in my car.",歩いても行けますが、代わりに私の車でそこまで送りましょう。
annually,毎年,ˈænjuəli,every 12 months,"年々,毎年 
年に1回",The conference takes place annually.,その会議は毎年開催される。
apology,謝罪,əˈpɑləʤi,saying you are sorry for something,"〈C〉(…に対する)『わび』,謝罪;言い訳,弁解《+『for』+『名』(do『ing』)》 
〈U〉〈C〉(口頭・文書による)(…の)弁護,弁明(defense)《+『for』+『名』》 
〈C〉《話》(…とは)申し訳ばかりのもの,(…の)お粗末な代用品《+『for』+『名』》",Only a sincere apology will appease my anger.,私の怒りを静めるのは心からの謝罪しかない。
approximate,【形】近似の　【動/他】近づける、概算する,əˈprɑksəmət,to give a general number as a guess,"(数量の点で)『近似の』・おおよその 
《『approximate to』+『名』》(…に)『近い』,ほぼ等しい 
(ある状態・量・額などの点で)…‘に'『近づく』,接近する 
(…の額に)…'を'概算する,見積もる《+『名』+『at』+『名』》",We can only know her approximate age.,彼女のおおよその年齢しか知らない。
architect,建築家,ˈɑrkəˌtɛkt,someone who designs buildings,"『建築家』,建築技師 
(特に長期にわたる作業計画・事業などの)創始者,創案者,計画者",The architect achieved worldwide fame.,その建築家は世界的名声を獲得した。
architectural,【形】建築術(学)の；建築の,ˌɑrkəˈtɛkʧərəl,to do with the design of buildings,建築術(学)の;建築の,an inharmonious (or incongruous) mixture of architectural styles,調和のとれていない（または釣り合いのとれていない）建築様式の融合
aspect,側面,ˈæˌspɛkt,a part or a feature,"〈C〉〈U〉《文》(人の)『顔つき』,『表情』 
〈C〉〈U〉(物の)『外観』,『様子』 
〈C〉(思想・状況・計画などの)『様相』,局面,面 
〈C〉(家・部屋などの)向き,方向",We must examine the various aspects.,多角的に見なければならない。
assemble,組み立てる,əˈsɛmbəl,to gather people together,"(ある目的で)〈人・物〉'を'『集める』,集合させる 
(部品を集めて)〈機械など〉'を'『組み立てる』 
…'を'整とんする,きちんと並べる 
(人が)集まる,会合する(meet)",The president assembled his advisers for a conference.,社長は会議のために顧問たちを集めた。
assembly,議会；立法府；集会；組み立てキット,əˈsɛmbli,when people are gathered together,"〈C〉(特定の目的をもった)『集会』,『会合』,会議 
《A-》(米国州議会の)下院 
〈U〉(機械の)組立て;〈C〉組立て部品",The assembly consisted of people concerned about human rights.,その集会は人権に関心を持つ人々の集まりだった。
assignment,割り当て,əˈsaɪnmənt,a project or task,"〈C〉割り当てられた仕事(持ち場,任務);《米》(学校の)宿題 
〈U〉(仕事などに)任命する(される)こと,(日時などを)指定すること《+『to』+『名』》",She asked me to help her with her assignment.,彼女は私に宿題を手伝ってくれるように頼んだ。
athletic,運動の好きな；運動選手の,æˈθlɛtɪk,to do with sports,"『運動競技の』;運動家の,運動家らしい 
強健な",He took part in the athletic meeting.,彼はその競技会に参加した。
audit,監査,ˈɔdɪt,"to check something is correct, usually related to accounts in business","会計検査(監査) 
決算報告[書] 
…‘の'会計検査(監査)をする 
《米》(大学の講義)'を'聴講する 
会計検査(監査)をする",he made an audit of all the plants on his property,彼はその資産のすべての工場を監査した
auditor,監査役,ˈɔdɪtər,a person who checks to make sure things are correct,"《まれ》聞き手,傍聴人 
会計検査官,監査役 
《米》(大学で単位を取らない)聴講生",the auditor did not attend the stocktake or check the valuations,その監査役は、在庫調査も行わず、評価査定も確認しなかった
authorization,"【名/U】権限を与えること,委任；許可すること【名/C】委任状",ˌɔθərəˈzeɪʃən,the permission given to do something,"【名/U】権限を与えること,委任
許可すること
【名/C】委任状",deputies are given authorization to make arrests,代理は、逮捕をする認可を与えられる
authorize,権威を与える；正式に許可する,ˈɔθəˌraɪz,to give permission for something,"〈人〉‘に'(…する)権限を与える《+『名』〈人〉+『to』 do》 
〈物事〉'を'正式に認可する,公認する;(慣例によって)…'を'認める","While long-term credit banks are authorized by law to issue bonds to raise fund, they are not allowed to take deposits the way ordinary banks are.",長期信用銀行は資金を調達するために債券発行することが法によって認可されるが、彼らは普通銀行がのような方法で預金を取ることができない。
bacteria,細菌,bækˈtɪriə,small microbes that often make you sick,"『バクテリア』,細菌","In order to isolate him from bacteria, and such, he is not allowed visitors.",細菌などから隔離するため、面会謝絶となっています。
bargain,格安品；掘り出し物；契約,ˈbɑrgən,"a good deal, a good price","『契約』,売買契約,取引き 
『安い買い物』;『堀り出し物』,見切り品 
契約をする,条件を話し合う 
《『bargain』+『that』『節』》…であると契約する",She has an eye on a good bargain.,彼女はバーゲンには抜け目がない。
bench,長いす；裁判官；作業台；ベンチに下げる,bɛnʧ,"a long, usually wooden, seat found mainly in parks","『ベンチ』,長いす 
〈U〉(職人・技師・科学者の)作業台,実験台,細工台 
長くて狭い段丘 
《the~》(スポーツの)選手席,ベンチ;《集合的に》補舌選手たち 
〈C〉裁判官席;〈U〉裁判官の職(地位) 
《集合的に》《the~》裁判官[たち] 
〈C〉(英国議会などの)議席 
〈選手〉'を'補欠としてベンチに座らせておく","I thought that if we lined up benches in the garden as well, we could achieve quite a seating capacity.",お庭の方にも縁台を並べれば、かなり座席数を確保できそうだなーと思いました。
cabinet,戸棚,ˈkæbənət,a piece of furniture with shelves to store things,"『キャビネット』(引出し・たな・仕切などのある箱・戸だな) 
《しばしばCabinet》《集合的に》《単数・複数扱い》『内閣』,(内閣の)閣僚連 
《英》閣議 
《古》小さい個室",His resignation left a vacancy in the cabinet.,彼の辞職で官僚の席に空きができた。
cancellation,取り消し,ˌkænsəˈleɪʃən,when something is not going to happen after all,"〈U〉(…の)まっ殺,取り消し,削除《+『of』+『名』》 
〈C〉消印","Also in the case of a member of a Gojokai (mutual support group), some troubles arise in the event of cancellation and so on.
","互助会に加入の場合も解約などトラブルがある。
"
candidate,候補者,ˈkændədeɪt,a person being considered for a job or position in office,"(…の)『候補者』,志願者《+『for』+『名』》",He came forward as a candidate for Congress.,彼は議員に自分から進んで立候補した。
chairperson,会長,ˈʧɛrˌpɜrsən,the person in charge of a meeting,議長,She addressed herself to the chairperson.,彼女は議長に話しかけた。
chilly,肌寒い,ˈʧɪli,when the weather is cold and causing you to shiver,"『冷え冷えする』,うすら寒い 
冷淡な,よそよそしい","Even though I was sitting in the sun, I still felt chilly.",ひなたに座っているのに、まだ寒気がした。
circuit,回路,ˈsɜrkət,a set path you move along,"『回ること』;一周,一巡 
(牧師・裁判官・外交員などの定期的な)巡回 
巡回する経路,巡回区域;(特に)巡回裁判区 
(電気の)配線系統,回路 
(映画館・劇場などの)チェーン,興行系統 
(チーム・クラブ・競技場などの)連盟,リーグ 
(土地・物などの)周囲,回り 
境界線で囲まれた区域",Let's bypass the protection circuit.,保護回路を飛ばしてしまおう。
circulate,循環する；広まる；流通する,ˈsɜrkjəˌleɪt,to move around in a circle,"〈血液・空気などが〉『循環する』,巡る 
〈うわさなどが〉『広まる』;〈本・新聞などが〉(特に広範囲に)『配布される』,売られる 
〈血液・空気など〉'を'『循環させる』;〈物〉を回す,回覧させる 
〈うわさなど〉'を'『広める』;〈本・新聞など〉'を'配布する",He circulated the letter among the members.,彼はその手紙を全員に回覧した。
circulation,循環；流通；広まり；発行部数,ˈsɜrkjəˌleɪʃən,"to distribute in a wide area, e.g. newspaper ","〈U〉『血液の循環』,血行 
〈U〉(貨幣の)流通;(情報・うわさなどの)流布伝達;(新聞・雑誌など,印刷物の)配布 
〈C〉(新聞・雑誌などの)発行部数",He is anxious to get back into circulation.,彼は社会的に戻りたがっている。
clarify,明らかにする,ˈklɛrəˌfaɪ,to explain or make clear,"…'を'明らかにする,理解しやすくする 
〈液体・空気など〉'を'澄ませる,浄化する 
〈思想・意味などが〉分かりやすくなる,明解になる 
澄む,透明になる",Trading partners are leaning on Japan to clarify its trade policy.,貿易相手国は貿易政策を明確にせよと、日本に圧力をかけています。
client,依頼人；相談者；患者,ˈklaɪənt,someone who pays for a service,"[『弁護』]『依頼人』,訴訟依頼人 
(商売上の)おとくい(customer)","When Tobita gives a plan his seal of approval, the client accepts it at first glance.",飛田課長が、太鼓判を押した企画書ならクライアントも一発ＯＫだろう。
clinic,診療所,ˈklɪnɪk,"a place you go when sick, like a mini-hospital","〈U〉(医学の)臨床講義 
〈C〉《集合的に》臨床講義のクラス 
〈C〉臨床講義室 
〈C〉(病院・医科大学・社会事業団などに付属した)診療所;《形容詞を判って》医療施設,病院 
〈C〉(警察・学校・社会事業団などに付属した)相談所",Our clinic strives to improve quality in order to increase trust.,当院では一層信頼されますよう質の向上に努力します
collaboration,"【名】共同,協力；共作,合作,共著",kəˌlæbəˈreɪʃən,the act of working together,"(…しの)共同,協力;共作,合作,共著《+『with』+『名』》","Because he cultivated his base of co-developers and leveraged the Internet for collaboration harder than anyone else,
","そして かれ は 、 共同 開発 者 の 基盤 を うまく 育て て 、 インターネット で うまく 共同 作業 を する 点 で 、 ほか の だれ より も 上 を いっ て い た 。
"
compensate,"埋め合わせる, 補う；補償をする",ˈkɑmpənˌseɪt,to give money for a service,"(…に対して)〈人〉‘に'『補償する』《+『名』+『for』+『名』》 
〈損失など〉'を'『償う』 
《米》…‘に'報酬(給与)を支払う 
(損失などを)『償う』《+『for』+『名』》","To compensate for his unpleasant experiences in the hospital, Tom drank a little more than was good for him.",病院で不愉快な思いをしている分を取り戻そうと思って、トムは自分の適量より少し多めにお酒を飲んだ。
conductor,指揮者；導体；導線；指導者；管理者,kənˈdʌktər,a person who leads,"(集団などの)『指導者』,案内者;(事業などの)管理者,経営者 
(オーケストラ・コーラスなどの)『指揮者』 
(電車・バスなどの)『車掌』;《おもに米》列車の 
(熱・電気・音などの)導体",A conductor directs an orchestra.,指揮者はオーケストラの指揮をする。
conference,会議,ˈkɑnfərəns,an event where people exchange ideas,"〈C〉『会議』,協議会 
〈U〉〈C〉(…との)相談,協議《+『with』+『名』》 
〈C〉(学校,スポーツクラブなどの)連盟",I am sorry that she is absent from the conference.,彼女が会議に欠席なので残念だ。
confirmation,確認,ˌkɑnfərˈmeɪʃən,something that verifies something is true,"(陳述・所信などの)『確認』;(情報などの)確証;(条約などの)承認《+『of』+『名』》;(…であるという)確証,確認《+『that節』》 
堅信礼(幼年時代に洗礼を受けた人が成人してその信仰を堅めるために告白をして教会員となる儀式)",You will hear from the subcontractor for confirmation later.,後日下請け会社から、確認の連絡が入ります
consent,【動/自】同意する　【名/U】同意,kənˈsɛnt,to give permission,"(…に)『同意する』,承諾する《+『to』+『名』(do『ing』)》 
…‘に'同意する,替成する 
『同意』,承諾,許可",Her father reluctantly consented to her marriage.,父親はしぶしぶ娘の結婚に同意した。
considerably,かなり,kənˈsɪdərəbli,to a large degree,"『かなり』,相当に,非常に",Her health seems to have improved considerably of late.,彼女は最近ずいぶん健康をとりもどしたようだ。
consistently,一貫して,kənˈsɪstəntli,doing something the same way every time,"一貫して;矛盾なく,きまって","John consistently underachieves, although he is very able",ジョンはとても有能であるけども常に成績が振るわなかった
consultation,相談,ˌkɑnsəlˈteɪʃən,a meeting between two people,"〈U〉〈C〉(…との)相談,協議《+『with』+『名』》;専門家との相談・〈C〉協議会,(専門家の)会議",I'd like to have a consultation about getting braces.,歯列矯正についてご相談したいのですが。
consumption,消費,kənˈsʌmpʃən,the act of eating,"『消費』《時に形容詞を伴ってa~》(…の)消費高(量) 
(体力の)消耗 
《古》肺病,肺結核",Small cars are very economical because of their low fuel consumption.,小型車は低燃費で経済的だ。
contestant,競技者,kənˈtɛstənt,someone who is part of a contest,"争う人,競争相手,(競技会などの)出場者",The contestant made two false starts.,あの選手は２回もフライングをした。
continental,アメリカ本土の；大陸の,ˌkɑntəˈnɛntəl,to do with the mainland,"大陸の,大陸的な(に特有の) 
《しばしばC-》ヨーロッパ大陸の 
《C-》(米国独立戦争当時の)アメリカ植民地の 
大陸の住人;《しばしばC-》(英国人やアイルランド人から見て)ヨーロッパ本土の人 
《C-》(米国独立戦争当時の)アメリカ兵","Now for the 'Eg.' Let us glance at our Continental Gazetteer.""
","さて Eg だ が 、 これ は 大陸 地名 辞典 で も 参照 し て みよ う 。 」
"
contradict,否定する；矛盾する,ˌkɑntrəˈdɪkt,to say the opposite of,"〈報道・人の言説など〉'を'否定する,反ばくする(deny) 
〈陳述が〉…‘と'矛盾する,相反する 
反ばくする",He contradicted the news.,彼はそのニュースを否定した。
contradiction,矛盾；否定すること；反対の主張,ˌkɑntrəˈdɪkʃən,the opposite of something,"否定,反ばく 
矛盾","I was charmed with it, adopted it, dropped my abrupt contradiction and positive argumentation, and put on the humble inquirer and doubter.",私はそれに引き付けられて、それを採用し、ぶっきらぼうな反対や真正面からの議論を止め、謙遜な探究者、懐疑主義者を装った。
convey,"【動/他】《...に》を伝達する,伝える；を運ぶ,運搬する；を正式に譲渡する《to》",kənˈveɪ,to give a message to someone,"【動/他】（思想・意味など）《...に》を伝達する,伝える《to》
《…に》…'を'『運ぶ』,運搬する《+『名』+『to』+『名』》
 《…に》（財産など）を正式に譲渡する《+『名』+『to』+『名』》",Wires are used to convey electricity.,針金は電気を伝えるのにもちいられる。
cooperate,"【動/自】《Aと》《Bについて》協力する,共同する；応じる《with A》 《on,in B(doing)》；（状況などが）うまく運ぶ",koʊˈɑpəˌreɪt,to work together nicely,"【動/自】《Aと》《Bについて》協力する,共同する；応じる《with A》 《on, in B(doing)》
（状況などが）うまく運ぶ","When it is seen to have risen too far, the central banks of major countries cooperate to intervene.",上昇しすぎているとみられるときは、主要国の中央銀行が協力して介入に当たります。
coordinate,"【動/他】を調和させる【動/自】調和して動く【名/C】同等の人；（数学の）座標 ；《複数形で》コーディネート【形】対等の,等位の；《Aと》同等の,同位の《with A》",koʊˈɔrdənət,to organize or manage,"【動/他】（各部分）を調和させる
【動/自】調和して動く
【名/C】同等の人（人物）
（数学の）座標 
《複数形で》コーディネート（色やデザインを組合せた装い・家具）
【形】対等の,等位の；《Aと》同等の,同位の《with A》","Although Usenet and interview sources concede that other subtitling projects existed, the Ranma Project represented the first coordinated subtitling effort that successfully distributed its tapes throughout the country and exhibited its work at AnimeCon '91 over the hotel's video system.57
","Usenet や インタビュー の 情報 源 に よれ ば 他 の 字幕 プロジェクト も あっ た らしい が 、 らん ま プロジェクト は 全米 に テープ を 首尾 良く 流通 さ せ た 初 の 協調 型 字幕 プロジェクト の 代表 で あり 、 その 成果 は アニメ コン ' 91 で 、 ホテル の ビデオ システム 上 で 放映 まで さ れ た 注 55 。
"
coordinator,調整役；コーディネーター,koʊˈɔrdəˌneɪtər,someone whose job is to organize things,調和させる人(物),We need someone who serves as a coordinator.,コーディネートする立場の人が必要だ
correspondence,対応,ˌkɔrəˈspɑndəns,communication by letter,"(…の間の)『一致』,調和類似《+『between』+『名』》;(…との)一致《+『with』(『to』)+『名』》 
(…との)『文通』,通信《+『with』+『名』》 
《集合的に》(書かレタ・取り交わされた)手紙,書簡",We are proud of our achievements over the past eighty years in the field of correspondence education.,当社が通信教育・通信指導に８０年の実績を誇る
counselor,助言者；相談者,ˈkaʊnsələr,someone who helps people with problems for a living,"『助言者』,相談相手 
《おもに米》弁護士(lawyer)",Do school counselors subvert young children?,スクールカウンセラーは幼児を堕落させるのか？
criteria,基準,kraɪˈtɪriə,details used to make a decision,criterionの複数形,I set several search criteria for one item.,１つの項目に複数の検索条件を設定する
cruise,遊覧航海する；ぶらぶら走る,kruz,"a long, relaxing holiday on a ship","(特定の目的地を決めずに)〈船・飛行機が〉巡航(遊航)する;〈タクシーが〉流す 
〈車・飛行機などが〉巡航(経済的な)速度で進む 
〈ある地域〉'を'巡航(巡回)する 
〈飛行機・車など〉'を'巡航(経済的な)速度で進ませる 
(レジャーを目的とした)巡洋航海",She cruised the neighborhood in her new convertible,彼女は新しいオープンカーで近所をゆっくり走らせた
dedication,献身,ˌdɛdəˈkeɪʃən,the act of being faithful to someone or something,"〈U〉奉納,献納 
〈U〉献身,専念 
〈C〉献呈の辞","Office managers expect accuracy, efficiency, and dedication.",仕事場の管理者は、正確さ、効率性、献身を期待する。
delegate,"【名/C】代表 【動/他】代表に指名する,委譲する",ˈdɛləgət,to give others tasks to do,"(会議などへの個人の)『代表』,使節《+『to』+『名』》 
〈人〉'を'『代表として派遣する』 
(…に)〈権限など〉'を'委託する《+『名』+『to』+『名』》",He delegated his authority to his competent assistant.,彼は権限を腕利きの助手に委任した。
descriptive,記述的な；描写的な；解説的な,dɪˈskrɪptɪv,something that tells you more about it,"記述的な,叙述的な,説明的な;(…を)記述(説明)している《+『of』+『名』》 
詳しく述べられた",descriptive grammar,記述文法
designate,"【動/他】指名する,呼称する",ˈdɛzɪgnɪt,to name or select someone for something,"…‘を'『指摘する』,示す,明示する 
(…と)〈人・物〉‘を'呼ぶ,称する《+『名』[+『as』]+『名』》 
(任務・官職・目的などに)〈人〉‘を'指名する,任命する 
(まだ就任していないが,ある役職に)任命(指名)された",Cities are designated on this map as red dots.,都市はこの地図では赤い点で示されている。
devastate,"【動/他】荒廃させる,荒らす；混乱させる",ˈdɛvəˌsteɪt,to destroy completely,"…‘を'荒廃させる,荒らす 
(突然の知らせなどで(〈人など〉‘を'打ちひしぎ,混乱させる",He was devastated by his grief when his son died,彼は、息子が死んだとき、深い悲しみで打ちのめされた
disable,障害を負わせる；作動しないようにする,dɪˈseɪbəl,to make something not work,"《しばしば受動態で》…‘を'役に立たなくする,無力にする,動けなくする 
《文》(…から)…‘を'失格させる,無能力にする《+『名』+『from』+『名』(do『ing』)》",A sprained ankle disabled him from walking for a month.,足首のねんざで彼は一ヶ月歩けなかった。
disagreement,【名/U】不一致、不調和,dɪsəˈgrimənt,the act of having a difference of opinion,"〈U〉(…間の)不一致,不調和《+between+『名』》 
〈C〉(…の間の)意見の相違;争い,不和《+between+『名』》",The disagreement between the union and management could lead to a strike.,労働側と経営側の意見不一致はストライキに行きつくかもしれない。
disposal,処分；配置；処分権,dɪˈspoʊzəl,the act of getting rid of something,"配置,配列 
(事件・業務などの)『処置』,処理;処分 
(物の)譲渡;売却",I have my friend's car at my disposal.,私は友人の車を自由に使える。
dispose,配置させる；(of)処分する,dɪˈspoʊz,to get rid of something,"(…に備えて)…‘を'『配置する』,整える(arrange)《+『名』+『for』+『名』(do『ing』)》 
《『dispose』+『名』+『to』 do》〈人〉‘を'(…する)『気にさせる』 
(…に)〈人〉‘が'影響されやすいようにする,(…の影響を)〈人〉‘が'受けやすいようにする《+『名』〈人〉+『to』+『名』》",He wants to dispose of his books.,彼は本を処分したく思っている。
disrupt,"混乱させる；存続不可能にする, 崩壊させる.",dɪsˈrʌpt,to interrupt and cause chaos,"…‘を'混乱させる 
(一時的に)…‘を'中断させる",The timetable was disrupted.,ダイヤが乱れている。
disruption," 混乱, 中断, 遮断, 分裂",dɪsˈrʌpʃən,the act of interrupting and causing chaos,"混乱,中断,分裂,崩壊[状態]","Due to the increase of vacant seats, participants who had conventionally talked with friends outside the hall eventually entered the hall, and caused disruptions in the ceremony.
","また、空席の増加により、従来、会場外で友達と話していて会場内に入らなかったような層が会場内に入れるようになり、それまで会場外で行われていて問題とはならなかったようなことが顕在化してきた。
"
distribution,"【名/U】《Aへの》配分,分配,配布,配達《to A》；分布；分布区域【名/C】配分されたもの,配給品【名/U】（商品の）流通組織,流通機構",ˌdɪstrəˈbjuʃən,the act of circulating things in a wide area,"【名/U】《Aへの》配分,分配,配布,配達《to A》
分布；分布区域
【名/C】配分されたもの,配給品
【名/U】（商品の）流通組織,流通機構",They argue that the distribution of wealth should be equitable.,富の分配は公平でなければならないと彼らは言う。
distributor,販売会社；分配する人；配電機,dɪˈstrɪbjətər,someone who sells or sends things to different areas,"分配する人(物),配分者 
販売会社,販売者;(特に)卸売り業者 
(エンジンの)配電器","Fans, distributors, and producers alike further belied that these fan processes were necessary.
","ファン たち 、 流通 者 たち 、 製作 者 たち は みんな 、 後に こうした ファン による プロセス が 必要 だっ た と いう こと を 否定 し た がる 。
"
documentation,公式文書；証拠書類；書類の作成；説明書,ˌdɑkjəmɛnˈteɪʃən,the act of showing proof in writing,"文書調べ,文書による証拠固め 
資料,証拠書類",Please refer to the UML documentation for the detailed information about UML semantics and notation.,ＵＭＬのセマンティクスと表記法の詳細については、ＵＭＬドキュメントを参照してください。
donate,寄付する,ˈdoʊˌneɪt,to give money to a cause or charity,"(…に)…‘を'寄贈する,寄付する《+『名』+『to』+『名』》 
(…に)寄贈(寄付)する《+『to』+『名』》",The amount donated still falls short of the goal.,募金はまだ目標額に達しない。
donation,寄付,doʊˈneɪʃən,the money that is given to a cause or charity,"寄贈,寄付 
寄付金,寄贈品",This organization relies entirely on voluntary donations.,この組織は百パーセント寄付に頼っている。
dose,用量,doʊs,the amount of medicine taken at one time,"(おもに飲み薬1回分の)『服用量』 
(痛いこと・いやなことの)1回分,一定量 
(人などが受ける放射線の)線量 
性病 
(…を)…‘に'投薬する,服用させる《+『名』+『with』+『名』》",It cannot reasonably be assumed that decreasing the dose would reduce the risk of side-effects.,投与する量を減らすことが副作用の危機を減少させるとは考えにくい。
drill,ドリル,drɪl,to bore a hole into something,雲斎(うんさい)織り(太あや織りの綿布または亜麻布),We had a fire drill yesterday.,私たちは昨日防火訓練をした。
eager,熱心な,ˈigər,to be excited to help or do something,"《補語にのみ用いて》『熱望している』,強く望んで 
『熱心な』",She said that she was eager to go there.,彼女はぜひそこへ行きたいと言った。
effectiveness,【名/U】有効性,ɪˈfɛktɪvnəs,the state of working properly or as expected,"【名/U】有効性；効力
","The degree of effectiveness with which he lives up to the accepted standard of efficiency in great measure determines his contentment with himself and his situation.
","彼 が おおむね 世の中 で 受け入れ られ て いる 標準 的 な 効率 に 従っ て いる その 有効 度 が 、 彼 自身 と その 状況 に対する 満足 度 を 決定 し て いる の だ 。
"
efficiently,"【副】効率的に,能率的に",ɪˈfɪʃəntli,to do something well in a little amount of time,"【副】効率的に,能率的に,効率よく","and that no great man can (with the old system of personal management) hope to compete with a number of ordinary men who have been properly organized so as efficiently to cooperate.
","そして 多く の 普通 の 人 が 正しく 組織 し 能率 的 に 協力 すれ ば 、 偉大 な 人 で も 個人 的 な 古い 経営 システム を し て いる 限り は 競っ て も それ に 勝つ こと を 望む こと は でき ない 。
"
