英単語,訳,発音,英語の意味,解説,用例,用例・訳
damp,湿った,dæmp,a little wet,"〈U〉『湿気』,しめり(moisture) 
〈U〉もや,霧(mist) 
〈U〉(鉱山の)有毒ガス 
《a~》気持ちのめいらせるもの 
『湿っぽい』,湿気のある 
…'を'湿らせる 
…‘の'勢いを弱める,そぐ《+『down』+『名,』+『名』+『down』》 
〈ピアノ・弦楽器の弦〉‘の'振動を弱める(押える)《+『down』+『名,』+『名』+『down』》","The down of chicks that have just hatched is damp, but after two hours it dries out and becomes fluffy.",孵化後まもないヒナは、産毛が濡れていますが、２時間もすると乾いてフワフワになります。
deliberately,意図的に,dɪˈlɪbərətli,"in a careful, considered manner","よく考えて,慎重に(cautiously) 
故意に,わざと",He deliberately kept on provoking a confrontation.,彼は対立を引き起こそうと、わざとしつこくした。
demonstrator,証明者,ˈdɛmənˌstreɪtər,person who shows how something works e.g. product,"立証者 
実演する人 
デモ参加者",The police brawled with the demonstrators.,警官隊はデモ隊と乱闘になった。
dense,濃い；密集した,dɛns,very thick and difficult to see/get through,"『密度が濃い』,密集した,目の詰まった 
《話》頭の鈍い,のろまな",The mist was so dense that I could not see even an inch ahead.,霧がとても濃かったので、一寸先も見えなかった。
depict,【動/他】描写する,dɪˈpɪkt,to describe someone or something,"(絵・言葉などで)…‘を'描き表す,描写する","Our visitor glanced with some apparent surprise at the languid, lounging figure of the man who had been no doubt depicted to him as the most incisive reasoner and most energetic agent in Europe.
","私 たち を 訪れ た 客 は 、 ヨーロッパ で 最も 明敏 な 理論 家 で あり 、 最も 精力 的 な 捜査 官 で ある と 確か に 聞かさ れ て い た 男 の 気 の ない 、 だらけ た 姿 を 、 明らか に 少々 驚い て 見やっ た 。
"
derivative,派生物；派生語，派生した,dəˈrɪvətɪv,something that has developed or been obtained from something else,"派生した,由来した;独創性のない,借り物めいた 
派生語 
派生した物",a derivative process,派生的なプロセス
dictate,書き取らせる；口述する,ˈdɪkˌteɪt,to speak while another person (or computer) writes the words down,"(人に)〈文章など〉‘を'『書き取らせる』,口述する《+『名』+『to』+『名』》 
…‘を'命じる,命令する,指図する:《『dictate』+『名』+『to』+『名』…を…に命じる》 
(人に)書き取らせる,口述する《+『to』+『名』》 
(…に)命令する,指図する《+『to』+『名』》 
(権威ある)命令;(良心などの)命じるところ",My boss dictated a letter for his secretary to type.,上司は秘書にタイプさせるために手紙を口述した。
dimensional,次元の,dɪˈmɛnʃənəl,having parts that extent in a number of directions,"(長さ・幅・厚さなどの)寸法の 
(数学で)…次元の","(a) Those with a finishing shape and dimensional tolerance of 1.0 micrometers or less
","イ　仕上がり形状寸法公差が一・〇マイクロメートル未満のもの
"
disability,身体障害,ˌdɪsəˈbɪlɪti,a condition that limits a person's ability to do something,"〈U〉無力,無能 
〈C〉不具,欠陥 
〈U〉(法律で)無能力,無資格",31 people have some sort of disability.,３１人が身体に何らかの障害を持つ
discharge,発砲；排出；解任，排出する；放電する,dɪsˈʧɑrʤ,to release someone or something,"〈船〉‘の'『荷を降ろす』;(積荷・客を)〈船〉‘から'降ろす《+『名』〈船〉+『of』+『名』〈荷〉》;(船から)〈積荷・客〉‘を'降ろす《+『名』〈荷〉+『from』+『名』〈船〉》 
(…に)…‘を'『発射する』《+『名』+『at』(『into』)+『名』》 
〈煙・液体〉‘を'『出す』,排出する 
(…から)〈人〉‘を'解放する,‘に'行くことを許す《+『名』〈人〉+『from』+『名』》 
(仕事から)〈人〉‘を'解雇する,くびにする《+『名』〈人〉+『from』+『名』》 
〈職務・義務・約束など〉‘を'果たす,遂行する(fulfill) 
〈借金〉‘を'返済する,支払う(pay) 
〈電池など〉‘から'放電する 
〈船が〉『荷を降ろす』,荷揚げする 
〈水などが〉流れ出る,注ぐ,流出する 
〈鉄砲などが〉発射される 
放電する 
〈U〉『荷降ろし』,荷揚げ 
〈C〉発砲,発射 
〈C〉『放出』,流出,排出;排出物 
〈U〉解任,退出,解雇;解放,釈放 
〈U〉(職務・義務などの)『遂行』,履行 
〈U〉(負債の)『返済』,弁済 
〈C〉〈U〉(電気の)放電",He discharged his duties with care.,彼は注意深く職務を果たした。
discourse,"【名/U】対話,会談,談話【C】講演,講義【動/自】 (かたい調子で長々と)論ずる,講演する",ˈdɪskɔrs,"talk, conversation","〈C〉(…についての)『講演』,講話;説教《+『on』(『upon』)+『名』》 
〈U〉会話,談話 
〈C〉論説,論考,論文 
(…について)講演する,論述する《+『on』(『upon』)+『名』》","If the person has no known Romanization, this analysis uses the popular usage of the person's name in anime-related discourse.
","もし ローマ字 表記 が 知ら れ て い ない 場合 に は 、 本文 席 は アニメ 関連 の 文脈 で よく 使わ れ て いる その 人物 の 名前 を 尊重 し て いる 。
"
discrimination,差別；識別,dɪˌskrɪməˈneɪʃən,the ability to recognize the difference between things; treating different groups of people unfairly,"区別(識別)すること 
(…に対する)差別待遇《+『against』+『名』》 
識別力,鋭く見分ける力",Hotly debated topics: proactive stance against discrimination and school busing.,論争の多い話題：積極的差別是正措置とバス通学。
distribution,配布；分布；流通,ˌdɪstrəˈbjuʃən,- in statistics: an arrangement of values showing frequency of occurrence - in engineering: the way in which the fuel-air mixture is supplied to each cylinder of an engine - in commerce: delivery of products or services.,"【名/U】《Aへの》配分,分配,配布,配達《to A》
分布；分布区域
【名/C】配分されたもの,配給品
【名/U】（商品の）流通組織,流通機構",They argue that the distribution of wealth should be equitable.,富の分配は公平でなければならないと彼らは言う。
diverse,多様な,daɪˈvɜrs,very different from each other,"【形】(…とは)別種の,違った《from》
いろいろの,多様の,多様な",The vigorous man is engaged in diverse activities.,その精力的な男は様々な活動に携わっている。
dominant,支配的な,ˈdɑmənənt,strongest,"『支配的な』,最も有力な 
(位置が)群を抜いて高い,そびえ立つ 
(手・目など左右のいずれかが)力のある 
(遺伝で)優性の 
(音階で)第5度音の,属音の 
(遺伝の)優性形質 
第5度音,属音","The company's analysis shows that in over 60% of all accidents in the past ten years, the behavior of the flight crew was the dominant cause.",ボーイング社の分析は過去１０年間のあらゆる事故の６０％以上が乗務員の行動が主要な原因だったことを示している。
domination,支配,ˌdɑməˈneɪʃən,authority; rule; control,"支配,君臨;優勢",I guess she's into bondage and domination.,彼女のフェチが緊縛と支配でしょう。
dose,服用量,doʊs,an amount of medicine to be taken at any one time,"(おもに飲み薬1回分の)『服用量』 
(痛いこと・いやなことの)1回分,一定量 
(人などが受ける放射線の)線量 
性病 
(…を)…‘に'投薬する,服用させる《+『名』+『with』+『名』》",It cannot reasonably be assumed that decreasing the dose would reduce the risk of side-effects.,投与する量を減らすことが副作用の危機を減少させるとは考えにくい。
drain,配水管，排出する,dreɪn,"a pipe that removes water, or other liquids","(液体を)…‘から'『排出する』《+『名』+『of』+『名』》;(…から)〈液体〉‘を'『排出する』《+『名』+『from』+『名』》 
…‘を'消耗させる,枯渇させる;(…を)〈人〉‘から'消耗させる《+『名』+『of』+『名』》 
〈酒など〉‘を'飲み干す,空にする 
〈土地〉‘を'干上がらせる 
〈土地などが〉水はけがよい;(液体を)排出する《+『of』+『名』》 
〈水・液体などが〉徐々に流れ去る 
〈C〉『排水設備』,排水路 
〈C〉(…を)消耗(枯渇)させるもの《+『on』+『名』》 
〈U〉《時にa~》(富・力などの)消耗,枯渇",It's money down the drain.,金をどぶに捨てるようなものである。
drift,漂流，漂う,drɪft,to move slowly,"〈U〉『漂流』,流されること 
〈U〉(海流・風などの)流れ,流れの方向(速度) 
〈C〉(雪・砂などの)吹きだまり,漂流物《+『of』+『名』》 
〈U〉〈C〉大勢,風潮,傾向 
〈U〉《時にa~》主意,主旨 
(水・風に)『流される』,漂う,漂流する 
あてもなくさまよう 
〈雪・砂などが〉吹き積もる,吹きだまりになる 
〈砂・雪など〉‘を'吹き寄せる;〈場所〉‘を'吹きだまりにする",He drifted aimlessly through life.,彼は人生に何の目的もなしにぶらぶらと過ごした。
effectiveness,【名/U】有効性,ɪˈfɛktɪvnəs,the degree of how well something works or is done,"【名/U】有効性；効力
","The degree of effectiveness with which he lives up to the accepted standard of efficiency in great measure determines his contentment with himself and his situation.
","彼 が おおむね 世の中 で 受け入れ られ て いる 標準 的 な 効率 に 従っ て いる その 有効 度 が 、 彼 自身 と その 状況 に対する 満足 度 を 決定 し て いる の だ 。
"
elaborate,"【形】入念な,手の込んだ【動/他】を念入りに仕上げる【自】詳細に述べる",ɪˈlæbrət,to be made or done with great care or with much detail,"『入念な』,手の込んだ 
…‘を'念入りに仕上げる,練り上げる 
(…について)詳細に述べる《+『on』(『upon, about』)+『名』(do『ing』)》",The reporter elaborated on the method of his investigation.,報告者は自分の研究方法について詳しく述べた。
elevate,高くあげる,ˈɛləˌveɪt,to make something higher,"【動/他】《AからBに》（人）を昇進させる《from A to B》
《A（ある高さ）に》...を上げる,の程度を高める《to A》
（知的・精神的に）...を向上させる,高める","Pretty soon, there was an elevated train going back and forth just above the small village.",そのうち、小さな村落の真上を高架線が行ったり来たりするようになりました。
elevation,高度,ˌɛləˈveɪʃən,the height of a place,"〈U〉〈C〉《文》(…を…に)『高めること』,昇進(向上)させること《+『of』+『名』+『to』+『名』》 
〈U〉《文》気高さ,高尚 
〈C〉《文》隆起したところ;高地 
《単数形で》(地表・海面からの)『高さ』;地上,海抜 
〈C〉(建物などの)立面図,正面図 
《単数形で》仰角",an elevation of the temperature in the afternoon,午後の温度の上昇
elimination,除去,ɪˌlɪməˈneɪʃən,the act or process of removing or being removed,"(…の)除去,削除《+『of』+『名』》 
(競技の)予選","""Then we need only consult the list of first-class passengers and proceed by elimination.""
","「 以上 から 、 ぼく たち は 乗船 名簿 を 調べ て 、 あてはまら ない 人 を チェック すれ ば いい の です 。 」
"
elite,エリート；上流階級；幹部,ɪˈlit,important people of high status,"《the ~》《複数扱い》えり扱きの人々,エリート,精鋭 
〈U〉エリート活字",You are now among the elite.,君はいまやエリート集団の一員だ。
emergence,出現,ɪˈmɜrʤəns,the process of emerging/coming out,出現,"With the emergence of Mahayana Buddhism, it was regarded as an important ascetic training (Buddhism) to admire the virtue of Buddhas and hold a mass.
","大乗仏教初期には、諸仏の徳を讃嘆し供養することが大切な行(仏教)とされた。
"
emission,放出；排出量,ɪˈmɪʃən,a substance (e.g. gas) released into the air,"〈U〉〈C〉(光・熱・液体などの)放射,放出 
〈C〉放射物,放出物",1/4 of the world's carbon dioxide emissions are from America: its per-capita emissions are also the greatest in the world.,アメリカは世界の１／４の二酸化炭素を排出しており、一人当たりの排出量も世界で最も多いのです。
emit,出す；発する,ɪˈmɪt,"formal to release or send out (a gas, etc)","〈水・熱・光・音・声など〉‘を'『出す』,『発する』","""Let's quit talking about Madonna, ho, ho, ho,""  and Red Shirt emitted a spooky laugh.
","と 野 だ が 云う と 、 マドンナ の 話 は よそ う じゃ ない か ホ ホ ホ ホ と 赤 シャツ が 気味 の 悪 るい 笑い 方 を し た 。
"
enforcement,"【名/U】施工,執行,強制",ɛnˈfɔrsmənt,the act or process of making sure that rules are followed,"(法律などの)実施,施行 
強制,強要","Serious enforcement of even the rather vague standards enforceable in theory by OSHA would probably bring the economy to a standstill.
","いいかげん な ＯＳＨＡ の 基準 も 理屈 の 上 で は 実施 可能 だ が 、 それ を まじめ に 施行 し た だけ で 、 経済 は 立往生 し て しまう だろ う 。
"
essentially,【副】本質的に;本来は；《否定構文で》必然的には,ɪˈsɛnʃəli,"basically, primarily","【副】本質的に；本来は 
《否定構文で》必然的には(necessarily)；必ずしも（…ではない）","Essentially it's a one-to-one match, but the content of that match is a level so high as to be unthinkable to an ordinary person.",要するにタイマン勝負なんだけど、その試合内容は常人では考えられないほどの高レベル。
estimation,推定,ˌɛstəˈmeɪʃən,judgment; opinion; guess at the value of,"〈U〉判断;評価;尊重 
〈C〉〈U〉(特に商業上の)(…の)見積り,概算《+『of』+『名』》","Your estimation of him is a little high, to say the least.",君の彼に対する評価は、ひかえ目に言っても、少し高いよ。
evident,"【形】（証拠に基づいて）明白な,はっきりした,明らかな",ˈɛvədənt,"plain, clear","【形】 （証拠に基づいて）明白な,はっきりした,明らかな
《It is ~ that ...》 …ということは明らかだ","She was from Kyoto, as was evident from her accent.",彼女は京都出身だった、そのことは彼女の発音から分かった。
evolutionary,進化の,ˌɛvəˈluʃəˌnɛri,concerning evolution,"発展の 
進化の;進化論に関する",With this as background I turn now to an account of the present state of evolutionary biology.,このことを背景知識として、ここで進化論生物学の現状についての考察に移ろう。
execute,【動/他】を実行する；《Bの罪でAの》死刑を執行する《 A for / as B》；（芸術品）を制作する；（法律・契約など）を執行する,ˈɛksəˌkjut,"To kill someone, usually as an official punishment","【動/他】〈計画・任務など〉‘を'『実行する』,遂行する 
(…の罪で,…犯として)…‘の'『死刑を執行する』《+『名』+『for』+『名』(do『ing』)/+『名』+『as』+『名』》 
〈芸術品〉‘を'制作する;〈曲〉‘を'演奏する 
〈法律・契約など〉‘を'執行する;〈証書など〉‘を'署名することによって完成する","The revolutionary government, while raising troops from the masses and fighting a defensive battle, established a republic and executed Louis XVI.",革命政府は、民衆から兵をつのって防戦するとともに、共和政治を確立して、捕らえていたルイ１６世を処刑しました。
execution,処刑,ˌɛksəˈkjuʃən,killing a person as a (usually legal) punishment,"〈U〉(命令・任務などの)『実行』,遂行《+『of』+『名』》 
〈U〉〈C〉死刑執行,処刑 
〈U〉(芸術品の)制作,できばえ;演奏[ぶり];演技 
〈U〉(遺言などの)執行《+『of』+『名』》","This spring, he will draw up execution designs and start demolishing the existing facilities.",彼が今春に実施設計と既存施設の解体工事に着手する
explicit,明示的な,ɪkˈsplɪsət,definite; clearly stated; specific,明白に述べた,explicit instructions,分かりやすい指示
explicitly,"【副】明示的に；明白に,はっきりと,あからさまに.",ɪkˈsplɪsətli,clearly; specifically,"【副】明示的に；明白に,はっきりと,あからさまに.
（形容詞形はexplicit。対義語はimplicitly（暗黙のうちに））","one other in which I have long participated is science fiction fandom, which unlike hackerdom has long explicitly recognized ``egoboo'' (ego-boosting, or the enhancement of one's reputation among other fans) as the basic drive behind volunteer activity.
","ぼく が 長い こと 参加 し て き た もう 一つ の 例 は 、 SF ファン ダム で 、 ここ は ハッカー 界 と ちがっ て ボランティア 活動 の 基本 的 な 動機 を はっきり 「 エゴ ブー 」 （ 他 の ファン たち の 間 で 自分 の 評判 を 高める こと ） だ と 認識 し て いる 。
"
exploit,【動/他】を(不当に)利用する；(資源など)を開発する【名/C】勇敢な行為,ˈɛkˌsplɔɪt,to use something or someone selfishly or unethically,"英雄的行為,めざましい功績,偉業 
〈鉱山・資源など〉‘を'『開発する』;〈機会など〉‘を'活用する 
…‘を'食いものにする,搾取する",He exploited his position to build up his fortune.,財産を成すため、地位を利用する。
fabric,織物,ˈfæbrɪk,cloth,"〈C〉〈U〉『織物』,編物 
〈U〉織り方;織地 
〈U〉構造,組織 
〈U〉構造物,建造物",I'd like to have this fabric dyed.,この織物を染めて欲しいのです。
facilitate,促進する,fəˈsɪləˌteɪt,To make an action or process easier,"…‘を'容易にする,楽にする,助ける,促進する",The washing machine facilitates my housework.,洗濯機のおかげで私の家事が楽になる。
faculty,学部；教授陣；能力,ˈfækəlti,the teachers in a school or college,"〈C〉(…の)『才能』,能力《+『for』(『of』)+『名』(do『ing』)》 
〈C〉(身体器官の)『機能』(function);(精神的)能力・〈C〉(大学の)『学部』 
(大学の学部の)『教授団』・(大学の)全教職員",He has an extraordinary faculty for mathematics.,彼は並外れた数学の才能を持っている。
fertility,肥沃；繁殖力,fərˈtɪləti,the state of a female being able to produce young,"肥沃(ひよく);産出力,繁殖力;(創造力の)豊かさ","Why was the scientific intellect compelled, like an exhausted soil, to lie fallow for nearly two millenniums before it could regather the elements necessary to its fertility and strength? 
","なぜ 科学 的 知性 は 枯渇 し た 土 壤 の よう に 、 肥沃 さ と 力 に 必要 な 要素 を 再び 集める まで 、 二千 年 近く も 休耕 さ れ なけれ ば なら なかっ た の でしょ う か 。
"
fiber,繊維；ファイバー,ˈfaɪbər,"a thin, threadlike part of an animal hair or plant tissue; an artificial thread; body cells that form muscles and nerves; a food substance","(1本の)『繊維』,すじ 
〈U〉《集合的に》繊維,繊維組織 
〈U〉(布の)生地,織り地(textile) 
〈U〉性格,性質;根性",He was lacking in moral fiber.,彼は道徳力に欠けていた。
flesh,肉,flɛʃ,the soft parts of the body,"(人間・動物の)『肉』 
(魚,時には鳥を除く)食肉(meat) 
肉付き,太りぐあい 
(くだもの)果肉;(野菜の)葉肉 
《the~》(精神・魂に対して)『肉体』,身体 
《the~》肉欲 
肉色(ピンクがかった肌色)",She lost one of her flesh and blood.,彼女は肉親の一人を失った。
flexibility,柔軟性,ˌflɛksəˈbɪləti,the quality of being able to be bent or stretched,"柔軟性,しなやかさ;適応性,融通性",Lack of flexibility is an obstacle to one's progress.,柔軟性の欠如は進歩の障害となる。
formally,【副】正式（公式）に；礼儀正しく；堅苦しく,ˈfɔrməli,in a formal manner; officially,"【副】正式に；公式に
形式的に；形式上；
礼儀正しく；儀式ばって；堅苦しく
《哲学》形相的に",the club will be formally recognized,クラブは、正式に認められるでしょう
formulation,定式化；形成；策定,ˌfɔrmjəˈleɪʃən,"the development of a plan, system, or proposal","〈U〉公式化 
〈C〉明確な表現",to credit Lister with the first formulation of the basic principle of stratigraphy would be to bestow credit falsely,地層学の基本原理の最初の定式化でリスターを認めることは、間違って賞賛を与えるだろう
found,設立する,faʊndz,"to be based on, started or created by",findの過去・過去分詞,"Disk herniation is when cartilage, called 'intervertebral disk' and found between each vertebra, slips out.",椎間板ヘルニアは背骨の間にある椎間板という軟骨が飛び出すものです。
fundamentally,根本的に,ˌfʌndəˈmɛntəli,in a basic and important way,基本的に;本質的に,"Considered fundamentally, then, it is by the operation of an insoluble mystery that life on earth is evolved, species differentiated, and mind unfolded from their prepotent elements in the immeasurable past.
","そこで 、 根本 から 考察 し て みる と 、 不可解 な 神秘 の 作用 によって 、 地上 の 生命 は 進化 し 、 種 は 分化 し 、 はかり 知れ ない 過去 に 精神 が その 優性 の 要素 から 姿 を 現し た の です 。
"
genetically,"【副】遺伝（子）的に,遺伝学的に",ʤəˈnɛtɪkli,"caused or controlled, or by genes","【副】遺伝的に,遺伝子的に,遺伝学的に","in some countries, people with genetically transmissible disabilites are sterilized",ある国では遺伝的に伝達する欠陥を持つ人は去勢される
genetics,遺伝学,ʤəˈnɛtɪks,"the scientific study of genes, how a living things develop between generations",遺伝学,All of these abilities are passed on to us by genetic transmission; we receive them by way of the genes that we inherit from our parents.,後者の能力はすべて遺伝によって私達に伝えられる。つまり、親から受けつぐ遺伝子を通して私たちはそうした能力を受け取るのである。
globalization,【名/U】世界（標準）化,ˌgloʊbəlɪˈzeɪʃən,"international spread of something, e.g. company","【名/U】（多国籍企業の活動などによる経済･文化の）世界（標準）化,グローバル化,グローバリゼーション","This dissemination flouts theories of globalization as directed by American cultural imperialism, 
","こうした 拡大 は 、 グローバル 化 という の が アメリカ の 文化 帝国 主義 だ という 説 を 嘲笑 する もの だ 。
"
goods,商品,gʊdz,general term for things that are bought or sold,"(不動産以外の)財産,(金・証券以外の)動産 
『商品』,品物 
《米》反物,織物 
《英》(鉄道で運ばれる)貨物",The weather outlook for tomorrow is not good.,明日の天気は良くなるだろう。
grasp,握る；把握する，握ること,græsp,to grip something firmly with the hands,"…‘を'『しっかり握る』,『ぎゅっとつかむ』 
…‘を'『理解する』,把握する 
(…を)捕まえ(捕らえ)ようとする《+『at』(『for』)+『名』》 
《通例a~》(手などでしっかり)『捕まえること』,『つかむこと』 
『理解』[『力』],知的把握[力]",She is able to grasp the situation.,彼女は情勢を把握することができる。
gravity,重力,ˈgrævəti,the force that makes things fall down towards the ground,"(地球の)『引力』,『重力』;重量(weight) 
『厳粛さ』,まじめさ 
『重大さ』,ゆゆしさ",Gravity pulls things toward the center of the earth.,重力が物を地球の中心に引っ張っている。
gross,気持ち悪い,groʊs,total amount; extreme or unreasonable,"『全体の,総計の』(entire) 
(人が)太りすぎた,でぶの 
粗野な,下品な(vulgar) 
(食物が)粗悪な 
(誤り・誤解などが)はなはだしい,全くひどい(very bad) 
(植物が)はびこった,伸びほうだいの…(霧などが)濃い,密な 
グロス(12ダース,144個) 
《the~》《文》全体;大部分 
…の総利益をあげる",Individuals who have not committed gross negligence are not held at fault.,重過失がない個人に責任を負わせない
hip,臀部；腰,hɪp,the upper part of the leg,野バラの実,I am aware that my hip aches when it rains.,私は雨が降ると腰が痛むことに気付いています。
ideology,イデオロギー,ˌaɪdiˈɑləʤi,ideas or beliefs which form theory and policy,"〈C〉イデオロギー(社会・政党などが持つ典型的な思考形態) 
〈U〉《軽蔑して》空理,空論",It goes without saying that the ideology is behind the times.,言うまでもないことだが、その思想は時代遅れだ。
immune,免疫,ɪmˈjun,"not affected by something, such as a disease","免疫の 
《補語にのみ用いて》(影響・攻撃・義務・税などを)免れている《+『against』(『from, to』)+『名』》",They are immune to attack.,彼らは攻撃を受ける心配はない。
impact,影響，影響を与える,ˈɪmpækt,a striking effect or result to hit with force,"〈U〉〈C〉(…の…に対する)衝突,衝撃《+『of』+『名』+『against』(『on』,『upon』,『with』)+『名』》 
〈C〉(…の…に対する)影響(influence)影響力《+『of』+『名』+『on』(『upon, against』)+『名』》","""Take a look at this."" ""Eh?"" ""There's an impact mark on the right-hand side of the bumper.""",「これを見て」「え？」「バンパーの右側に衝突痕があるわ」
independently,"【副】独立して,単独で",ˌɪndɪˈpɛndəntli,in a manner being free from the control of another,"独立して,自主的に","After the bushfires, we have independently decided to call off this year's fireworks display.",山火事の後なので今年の花火大会は自主的に中止を決定しました。
inevitably,"【副】必然的に,避けられないで",ɪˈnɛvətəbli,happening with complete certainty,"避けられないで,必然的に","When it's like this, my eyes are inevitably drawn to the lining.",こうなると裏地の方に目がいく
infect,【動/他】感染させる、影響を及ぼす,ɪnˈfɛkt,to give someone a disease,"〈病気が〉…‘に'『感染する』;(病気を)…‘に'感染させる,すつす《+『名』+『with』+『名』〈病気〉》 
…‘に'『影響を及ぼす』",The air was infected with photochemical smog.,空気は光化学スモッグで汚染されていた。
infectious,伝染性の,ɪnˈfɛkʃəs,"capable of causing infection, by the spreading of a bacteria or virus to others","(病気が)伝染する,伝染性の 
(影響などが)感化しやすい,うつりやすい",His infectious humor stimulated applause.,彼のユーモアにつられて拍手喝采が起こった。
initiate,【動/他】始める、入会させる、教える,ɪˈnɪʃiɪt,to start,"…‘を'始める 
《しばしば受動態で》(特に式を行って)(…に)〈人〉‘を'入会させる《+『名』〈人〉+『in』(『into』)+『名』》 
〈人〉‘に'(…の)初歩を教える,秘伝(秘訣)を教える《+『名』〈人〉+『in』(『into』)+『名』》 
新入りの,手ほどきを受けた 
新入会者;手ほどきを受けた人",he initiated deceleration by braking,彼は、ブレーキをかけて減速を開始した
initiation,"【名/U】（組織などへの）加入,入会,仲間入り；(手続き･計画などの)開始,着手【C】入会[入社]式",ɪˌnɪʃiˈeɪʃən,"a formal entry into an organization, position or office","〈U〉開始;創業 
〈U〉入会,入門;〈C〉入会(入門)式 
〈U〉手ほどき,伝授",she looked forward to her initiation as an adult,彼女は成人するのを楽しみにしていた
inject,注入する,ɪnˈʤɛkt,to put medicine into someone with a syringe,"(…に)〈液体など〉‘を'注射する,注入する《+『名』+『into』+『名』》;(…を)…‘に'注射する《+『名』+『with』+『名』》 
(話などに)…‘を'導入する,さしはさむ《+『名』+『into』+『名』》",inject subcutaneously,皮下注射する
injection,注射；注入,ɪnˈʤɛkʃən,a way to put (inject) a drug or another substance into your body,"〈U〉〈C〉注射,注入 
〈C〉注射液",I'll give you a painkilling injection.,痛み止めの注射をします。
insert,挿入する,ɪnˈsɜrt,to put something in something,"(…に)…‘を'『差し込む』,挿入する《+『名』+『in』(『into, between』)+『名』》 
挿入物;(別刷りの)差し込みページ;(新聞などの)折り込みビラ",prototype.js - inserts update information into the page when the page is loaded.,ページが読み込まれたら更新情報をページ内に流し込む　prototype.js
instinct,本能,ˈɪnstɪŋkt,"the natural way a person or animal thinks or behaves, knowledge that is not learned",(…に)満ちた《+『with』+『名』》,Instinct is often a poor guide.,本能に従うと道を誤ることが多い。
integration,統合,ˌɪntəˈgreɪʃən,act of bringing things together into a whole,"統合,集成,完成 
(学校や住居における)人種差別の撤廃","After the chaos of Haibutsu kishaku, Tetsujo UGAI and Gyokai FUKUDA tackled modernization of Jodo Shu. Integration of Chinzei-ha by the Shirohata-ha that unified Nagoshi-ha and others led to the prototype of present Jodo Shu.
","廃仏毀釈の混乱の中から養鸕徹定・福田行誡らによって近代化が図られて白旗派が名越派などを統合する形で鎮西派が統一されて現在の浄土宗の原型が成立する。
"
interact,相互に作用する,ˌɪntəˈrækt,"an action that is answered by a reaction, verbal or physical","(…と)相互に作用する,影響し合う《+『with』+『名』》",We actively created an opportunity to interact with ceramic lovers.,私たちは積極的に陶芸愛好家との交流の機会を設けました
interfere,干渉する,ˌɪntərˈfɪr,to get involved in the business of others without invitation,"(…に)『干渉する』,口出しをする(meddle)《+『in』(with』)+『名』)『wh-節』(『句』,do『ing』)》 
(仕事・状況などの)『妨げとなる』,邪魔になる《+『with』+『名』(do『ing』)》",The freedom of the press should not be interfered with.,報道の自由は阻害されてはならない。
intervene,【動/時】介入する、仲裁に入る、間に起こる,ˌɪntərˈvin,"to get involved, to prevent trouble","(ある事と事,時と時,場所と場所の)『間に起こる』,間に人る《+『between』(『in』)+『名』》 
(相対するもの間に)仲裁に入る,(…に)干渉する《+『in』(『between』)+『名』》 
〈事が〉じゃまに入る","When it is seen to have risen too far, the central banks of major countries cooperate to intervene.",上昇しすぎているとみられるときは、主要国の中央銀行が協力して介入に当たります。
invasion,侵略,ɪnˈveɪʒən,an entry into a place for the purpose of taking control,"(敵軍の)侵入,侵略《+『of』+『名』》 
(人・物の)殺到;(災害などの)襲来《+『of』+『名』》 
(権利などの)侵害《+『of』+『名』》",The allies condemned the invasion as a violation of UN resolutions.,同盟諸国はその侵略行為が国連決議に違反するとして、厳しく非難した。
irrelevant,"【形】無関係の,重要でない",ɪˈrɛləvənt,"not important, not related to the topic",見当違いの;取るに足りない,Your remark is irrelevant to our argument.,あなたの発言は私たちの議論には的外れである。
justification,正当化,ˌʤʌstəfəˈkeɪʃən,a reason or fact that explains why something happens or exists,"(…を)正当化すること,(…の)正当化,弁明,弁護《+『of』+『名』》 
(…を)正当とする理由(事実)《+『for』+『名』(do『ing』)》",It is without justification that money has been called one of the greatest inventions of man.,貨幣が、人類最大の発明品のひとつだとこれまで呼ばれてきたのにも、十分な理由がある。
lecturer,講師,ˈlɛkʧərər,a junior teacher in university,"(…の)講演者;(大学の)講師《+『in』+『名』》 
訓械する人,しかる人",He is listening to the lecturer's talk.,彼が講師の先生の講演を聴きます
legend,伝説,ˈlɛʤənd,"old story generally believed, although not proven","〈C〉『伝説』,言い伝え;〈U〉伝説文学 
〈C〉伝説上の人物 
〈C〉(メダルなどの)題銘,銘(inscription) 
〈C〉(地図・図表などの)説明,凡例(はんれい)",We are familiar with the legend of Robin Hood.,我々はロビンフッドの伝説を良く知っている。
legitimate,"【形】合法的な,法律の認める； 論理的な,筋道の立った；正当な；嫡出の；正統の【動/他】を合法化する；を嫡出子とする",ləˈʤɪtəmət,being reasonable and sound,"【形】(要求・目的などが)『合法的な』,法律の認める 
(議論などが)『論理的な』,筋道の立った 
(支出・苦情などが)正当な,もっともな 
(生まれが)適法な婚姻から生じた,嫡出(ちゃくしゅつ)の 
正統の 
【動/他】…‘を'合法化する 
〈子供〉‘を'嫡出子とする",making indirect but legitimate inquiries,間接的であるが、合法的な質問をすること
