英単語,訳,発音,英語の意味,解説,用例,用例・訳
coverage,"報道, 取材; 報道[取材]規模；受信地域；補償額；取り扱い範囲.",ˈkʌvərəʤ,type of programs a radio or TV station broadcasts,"(テレビ・ラジオ・新聞などの)報道;報道範囲 
《a~おおう範囲;保険の補償範囲,補償金額",film coverage of sporting events,スポーツ競技のフィルム報道
crazy,気が狂った；夢中である,ˈkreɪzi,Not being sensible or practical,"『狂気の』,気違いの 
(物事が)『途方もない』,実行不可能な 
《補語にのみ用いて》『熱中している』,夢中の",Her ideas sound crazy.,彼女の意見はばかげて聞こえる。
crime,犯罪,kraɪm,"act that is against the law; murder, theft etc","〈C〉(事律上の)『犯罪』,罪 
〈U〉(一般に)犯罪[行為] 
〈C〉《a~》『よくない行為』,ばかげた行為",They still haven't been able to work out quite what her motive was for resorting to crime.,彼女がどうしてその犯罪に及んだかという動機については、いまだによくわかりません。
cross,横断する；交差する，交差している,krɔs,To meet at one point,"〈C〉(昔,罪人のはりつけの刑に用いた)『十字架』 
《the C-》キリストがはりつけになった十字架;キリスト教の象徴としての十字架 
〈C〉十字(キリスト教徒が右手で切る) 
〈C〉イエスのために耐える苦しみ,受難 
〈C〉十字架像;(紋章などの)十字形 
〈C〉キリスト教信仰;《集合的に》キリスト教徒 
〈C〉十字記号(crisscross)(+または×) 
〈C〉《修飾語を伴って》十字勲章 
《『the Cross』》南十字星(the Southern Cross) 
〈C〉(動物・植物の)(…間の)異種交配;雑種《+『between』+『名』+『and』+『名』》 
〈C〉(ボクシングの)クロスパンチ 
(信仰のしるしとして)〈人・自分〉‘に'『十字を切る』 
…'を'『交差させる』(『する』) 
…‘に'『交差させて線を引く』;《英》〈小切手〉‘に'線引きする;…'を'横線(×印)をつけて消す《+『名』+『out』(『off』),+『out』(『off』)+『名』》 
…'を'『横切る』,横断する,渡る 
〈心〉'を'よぎる,‘に'ふと浮かぶ 
…‘と'すれ違う,行き違う 
…'を'妨げる,‘の'じゃまをする 
…'を'交配する 
『交差する』,交わる 
(…へ)『横切る』,渡る《+『over to』+『名』》 
すれ違いになる 
〈動物・植物が〉交配する,雑種になる 
おこりっぽい,ふきげんな 
(風が)反対の 
十文字に交差した,横切った","When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",暖かい軽い空気は山越えすると上空に上昇し、地上には下りてこないことなど、風は地形によって変わります。
cry,泣く,kraɪ,to produce tears and sounds because of pain,"(喜び・悲しみ・苦痛などで)『泣く』,涙を流す 
『叫ぶ』《+『out』》 
〈鳥・獣が〉鳴く,ほえる 
…‘と'『叫ぶ』,大声で言う 
〈ニュース〉'を'大声でふれ歩く;〈品物〉'を'呼び売りする 
『叫び[声];(鳥・獣の)鳴き声,ほえ声』 
『声をあげて泣くこと』,泣き声 
(…に対する,反対する)要求,訴え《+『for』(『against』)+『名』》,(…する)要求《+『to』 do》 
世論;スローガン,標語",Please don't cry.,お願いだから泣かないで。
cup,カップ,kʌp,small round container used to hold liquids for drinking,"(紅茶・コーヒー用の)『茶わん』 
『茶わん1杯』(の…)《+『of』+『名』》 
カップ(容量の単位,約240,) 
賞杯 
《修飾語を伴って》(悲しみ・楽しみなど)人生の経験 
《複数形で》酒・飲酒 
〈手のひら〉'を'杯状にする 
…'を'茶わん(杯状の物)の中へ入れる",Set up paper cups in the cupcake baking tray.,カップケーキ型に、ペーパーカップを並べます。
cut,切る,kʌt,To use a knife or scissors to divide or open the surface,"(刃物などで)…'を'『切る』,傷つける 
(刃物などで)…'を'『切断する』,切り分ける;〈草・作物・髪など〉'を'刈り取る 
〈像・文様など〉'を'『刻む』,彫る;〈石・宝石など〉'を'刻む;みがく;〈衣服など〉'を'裁断する 
《比喩(ひゆ)的に》〈人,人の心〉'を'切る,傷つける;〈寒さなどが〉…‘の'身を切る 
(…から)…'を'『削除する』《+『名』+『from』(『out of』)+『名』》 
…'を'減らす,削減する;(…で)…'を'薄める《+『名』+『with』+『名』》 
…'を'横切る,‘と'交差する 
…'を'掘る,切り開く 
…'を'止める 
〈歯〉'を'はやす 
《話》(わざと)…'を'知らないふりをする,のけものにする 
《話》〈授業など〉'を'さぼる,欠席する 
(カードゲームで)〈一組の札〉'を'切る 
(テニス・卓球などで)〈ボール〉'を'カットする 
《しばしば状態を表す副詞[句]を伴って》〈刃物が〉『切れる』;〈物が〉切られる 
〈物事が〉身を切るように痛い;感情をひどく傷つける 
(…へ)急に方向を変える《+『to』+『名』》 
(…への)切り傷,刻み目《+『on』(『in』)+『名』》 
(刃物の)一切り,(むちなどの)一打ち 
(…の)断片(特に,切り取った肉など),切り身《+『of』+『名』》 
(…の)削減,(値段の)割引き,(賃金の)引下げ《+『in』+『名』》 
(…の)切り方,裁ち方,刈り方《+『of』+『名』》 
(テニス・卓球などで)ボールを切ること 
横断路,通り抜け路 
切り通し;掘り割り 
木版[画];(印刷用の)金属板;さし絵,カット 
(…に対する)感情を傷つける言葉(行為);しんらつな言葉,冷酷な仕打ち《+『at』+『名』》 
《話》分け前,配前(share)","Cut the quartered pak-choi into, slightly wide, strips.",1/4カットの白菜を太めの千切りにザクザク切る。
daily,日々,ˈdeɪli,Happening every day,"『毎日の』,日々の 
『毎日』,日々(everyday);日ごとに 
日刊新聞(daily paper) 
(また『daily help』)《おもに英話》通いのメイド","It's the prevention of migraines during daily life that's important, not dealing with migraines when they occur.",偏頭痛がおこったときに対処するだけではなく、普段の生活のなかで、偏頭痛をなるべく防いでいくのも大事なことです。
dance,踊る,dæns,To move your body rhythmically to music,"(…に合わせて)『踊る』,舞う,ダンスをする《+『to』+『名』》 
《副詞[句]を判って》『こおどりする』,跳ね回る 
〈木の葉・光の影などが〉舞う,揺れる 
〈ダンス〉'を'踊る 
《副詞[句]を判って》〈人〉'を'踊らせる 
〈赤ん坊〉'を'上下に揺すってあやす 
《副詞[句]を判って》…'を'踊って(…のように)する(言う) 
『ダンス』,舞踏;舞踏曲;《the~》踊り方 
『舞踏会』(dancing party)","Transcending time, the insects of ages gone past dance livelily in amber.",時を超えて古代の昆虫たちが琥珀の中で生き生きと踊る。
danger,危険,ˈdeɪnʤər,"The possibility of getting hurt, damaged, or killed","〈U〉『危険』,おそれ(peril) 
〈C〉(…に対して)『危険を引き起こすもの』,脅威(menace)《+『to』+『名』》",However the disciples awoke to that danger.,しかし、使徒たちはその危険に気付いた。
dangerous,危険な,ˈdeɪnʤərəs,involving the chance of hurt or damage; risky,"『危険な,危ない』;危害を加える,険呑(けんのん)な","""Hey! It's dangerous to run here."" ""Eh? ... A-a-Aaah!!"" ""Oh dear, what did I tell you?""",「おい。走ると危ないぞ」「え？・・・わっ、わ、うわわ〜〜〜っ」「あーあー、言わんこっちゃない」
dark,暗い,dɑrk,Having little or no light; not light in color,"『暗い』やみの 
(毛髪・皮膚・目の)『浅黒い』,(色の)濃い 
陰うつな,陰気な(gloomy) 
腹黒い,悪意のある(evil) 
隠した,秘密の 
(意味が)明らかでない,なぞめいた 
未発の;無知の 
〈U〉《the~》『やみ』,暗がり(darkness) 
《冠詞なしで》『夜』(night);『日暮れ』(nightfall) 
〈U〉暗い色,濃い陰",The light went out and we were left in the dark.,明かりが消えて、私たちは闇の中に取り残された。
darkness,暗さ；黒さ,ˈdɑrknəs,The state or quality of being dark in color,"『暗さ』,『やみ』 
徳黒さ 
無知,無学 
邪悪,腹黒さ 
不明りょう,あいまいさ","In the darkness, I frantically reach out towards the receding figure.",暗闇の中、俺は遠ざかる後姿に必死に手を伸ばす。
date,日付,deɪt,A day in the calendar such as January 3rd,"〈C〉『日付』,年月日 
〈U〉(歴史上の)『時代』,年代 
〈C〉(…の)約束[の日]《+『for』+『名』》;《話》(異性との)デート《+『with』+『名』》 
〈C〉《おもに米話》デートの相手 
《複数形で》(ある人の)生没期間,生没年;(物事の)開始と終了の期日 
…‘に'『日付を入れる』,年月日を書く 
…‘の'『年代』(『時代』)『を定める』,年代を算定する 
…'を'古くさくする,時代遅れにする 
《おもに米話》〈異性〉‘と'デートする 
『日付がある』;(特定の時代に)『始まる』,(…に)起源をもつ《+『from』(『back to』)+『名』》 
時代遅れになる 
《おもに米話》デートする",The streetcar is now certainly out of date.,路面電車は今では確かに時代遅れかもしれない。
daughter,娘,ˈdɔtər,A female child of someone,"『娘』 
女の子孫 
(娘のように)生み出されたもの",He adopted a war orphan and is bringing her up as a foster daughter.,彼は戦災孤児をひきとって養女として育てています。
day,日,deɪ,Each of the 24 hours beginning at midnight,"〈U〉〈C〉『昼間』,『日中』 
〈C〉『1日』,1昼夜,日 
〈C〉(労働や勉強の単位の)1日 
〈C〉(物事が予定された)日・期日;《しばしばD-》祝日 
〈C〉《しばしば複数形で》(過去・現在・未来いずれかの)『時代』;現代 
〈C〉《しばしば複数形で》『一生』,生涯;《所有格の旧詞・代名詞とともに槻数形で》(…の)『全先宗代』,活動期 
〈U〉《the ~》戦い,勝負",It's been 10 days since my boyfriend went to jail.,彼氏が留置所に入って10日経ちました。
dead,死んでいる,dɛd,Not alive,"『死んだ』,死んでいる 
『生命を持っていない』 
『死んだような』;(死んだように)無感覚な 
効力を失った 
活動していない,働いていない,通用していない(no longer active) 
《名詞の前にのみ用いて》全くの,完全な(complete) 
(色が)さえない;(音が)鈍い 
《補語にのみ用いて》《話》疲れきった;(…で)疲れ果てた《+『from』+『名』》 
《話》絶対に,完全に(completely) 
(動作・行動などの停止について)ぱったり,突然 
《話》まっすぐに(straight) 
(暗さ・寒さなどの)最中,まっただ中《+『of』+『名』》","The canal can accommodate ships as large as 150,000 dead weight tons.",その運河は１５０、０００重量トンの大きさの船を収容できる。
deal,"【動/他】を分配する,を分ける《to / out》；《…に》（打撃・仕打ちなど）を加える《to》【名/U】取引き【名/C】妥協,協定；カードゲームの札の配分；政策；《話》取扱い,待遇",dil,"to give out (cards, etc) to; distribute","【動/他】…'を'『分配する』,分ける 
《『deal』+『名』+『名』=『deal』+『名』+『at』(『to』)+『名』》〈打撃・仕打ちなど〉'を'…‘に'『加える』 
〈U〉取引き 
〈C〉(取引きなどの)妥協,協定 
〈C〉カードゲームの札の配分 
《D-》政策(policy) 
《a~》《話》取扱い,待遇",She is dealing out two apples to each child.,彼女は子供１人にりんごを２個ずつ分けている。
dealer,販売業者,ˈdilər,Someone who buys things to sell to others,"『商人』;(…の)『業者』《+『in』+『名』》 
(カードゲームの)札の配り手,親",He held off paying for the television set until the dealer fixed it.,彼はお店の人がテレビを取り付けてくれるまで、その代金を支払うのを延期した。
dear,"【形】親愛な,かわいい；（手紙の書き出しのあいさつの）親愛なる,尊敬する；《...にとって》大事な《to》【副】高価に【名/C】かわいい人【間】おや,まあ",dɪr,Loved or valued very much,"【形】『親愛な,かわいい』(much loved) 
(手紙の書き出しのあいさつの)『親愛なる』,尊敬する 
『大事な』,貴重な;(…にとって)大事な《+『to』+『名』》(precious) 
高い/,高価な 
【副】『高価に』,高く 
【名/C】『かわいい人』,大切な人,いい子 
【間投詞】『おや,まあ』(驚き・同情・悲しみ・困惑などを表す)","We don't have polygamy in Japan, dear.",日本は一夫多妻制ではないんですよ、あなた。
death,死；死亡,dɛθ,when someone dies; the end of life,"〈U〉〈C〉『死』,死亡;死に方,死にざま 
〈U〉死んだ[ような]状体 
《the~》(…の)絶滅,破滅《+『of』+『名』》 
《the~》(…の)死の原因,命取り《+『of』+『名』》 
《通例『D-』》死神(手に鎌(かマ)を持った黒装束の骸骨(がいこつ)で表される)",Making light of cavities can be a matter of life and death.,虫歯を侮ると命に係わる場合もあるのです。
decide,決める,ˌdɪˈsaɪd,To make a choice about something or choose after thinking,"〈人が〉〈論争・問題など〉'を'『解決する』 
〈人が〉『決心する』 
〈物事が〉…'を'決定する 
〈物事が〉〈人〉‘に'決意させる,決定させる 
『決定する』 
(…に不利な,有利な)判決を下す《+『against』(『for』,『in favor of』)+『名』》",It is up to you to decide whether we will go there or not.,私たちがそこへ行くかどうかを決めるのは君の責任だ。
deep,深い,dip,Going far down from the surface,"(表面から下方または内部へ)『深い』 
(程度が)非常な,深い 
奥行きの深い,奥まった 
奥深くて測りしれない,深遠な 
《補語にのみ用いて》(…の)奥深いところにいる(ある)《+『in』+『名』》 
(思想・感情などが)深い,強い 
(色が)濃い 
(音・声が)低い,太い 
『深く』 
〈C〉(特に海洋の)『深い所』;海溝 
《the~》《文》海 
《the~》《古》(冬などの)さなか",I like to have a deep conversation with a more academic person from time to time.,たまには偏差値の高い人とレベルの高い会話してみたい。
deeply,深く；深刻に,ˈdipli,"to a great, intense or extreme extent","『深く』 
(色が)濃く 
(声が)太く,(音調が)低く 
(程度が)非常に,深く",He sighed deeply and headed to the corridor.,深々と嘆息して、廊下へ向かう。
definitely,明確に,ˈdɛfənətli,Without question; beyond doubt,"明確に,確実に 
《話》確かに,そのとおり",He's definitely the right guy for the job. Let him fiddle with a computer and he perks right up.,適材適所。あいつはコンピューターをいじくっていた方が生き生きしているよな。
degree,度; 程度；レベル,dɪˈgri,unit for measuring temperature or angles,"〈C〉U〉『程度』,度合 
〈U〉《古》(社会的)階級,地位,身分 
〈C〉『学位』,称号 
〈C〉(寒暖計の)『度』 
〈C〉(角度の)度 
〈C〉(数学で)次[数] 
〈C〉(形容詞・副詞の比較の)級 
〈C〉(犯罪の)等級 
〈C〉(音階の)度,階 
ちょっと,いくぶん","I feel smart today, to a degree that is in proportion to the amount of good rest I had yesterday.",昨日ゆっくり休んだ分、今日は頭が冴えている。
depend,"〖on [upon] A〗A 次第である, Aによって決まる,依存する, 頼る",dɪˈpɛnd,To rely on for support (financial or emotional),"〈人が〉『頼る』,依存する,当てにする 
〈物事が〉…次第である,‘に'かかっている(受動態にできない)",I suppose that depends on how good you are. I'm counting on you!,それは君の腕次第かな。期待してるよ。
dependent,他人に頼っている,dɪˈpɛndənt,Someone who relies on someone for (financial) support,"『頼っている』,依存している,従属している 
扶養される人(家族)",Her husband is heavily dependent on drugs.,彼女の夫はひどい麻薬依存症だ。
depth,深さ,dɛpθ,distance below a surface,"〈U〉〈C〉《通例単数形で》『深さ』;奥行き 
〈U〉(知識・知性などの)『深遠さ』,深さ 
〈U〉(声・音などの調子の)『低さ』;(色の)濃さ 
〈C〉《複数形で》『奥まった場所』,奥地 
〈C〉深い所,深み 
〈U〉〈C〉《時に複数形で》最中","Compared with his father, he is lacking in depth.",父親に比べると彼は深みがない。
die,死ぬ,daɪ,(of a person) to stop living,"〈人・動物が〉『死ぬ』,〈植物が〉『枯れる』 
《副詞[句]を伴って》〈音・光・風などが〉消えてゆく《+『away』》;〈火・感情などが〉次第に収まる《+『down』》;〈家系・習慣などが〉絶えてなくなる《+『out』》 
〈機械が〉動かなくなる,止まる 
《話》《進行形で》死ぬほど望む",I'll kill you! Knock your block off and grind you underfoot! You shithead! Die!,殺してやる！ぶっ殺して、踏み潰してやる！くそったれ！死ね！
difference,相違,ˈdɪfərəns,Not of the same kind; unlike other things,"『違い』,『相違点』,意見などの食い違い 
『差』,差額",If you have a complaint let me hear it. There's a difference between superficial obedience and honest loyalty you know.,文句があるならはっきり言えよ。君のその態度は面従腹背そのものだよ。
different,異なる；いろいろな；変わった,ˈdɪfərənt,Not of the same kind; unlike other things,"『異なった』,違う 
《名詞の前にのみ用いて》『個々の』,別々の;『種種の』 
《話》風変わりな",My method displayed a different spirit.,僕の実験方法は、これとは違う精神を示していた。
differently,"【副】異なって,違って；さまざまに",ˈdɪfrəntli,In another and different manner,"(…と)『異なって』,違って,さまざまに《+『from』+『名』》",I think it's a good idea to spend some time apart so you can see each other differently.,少し離れて相手を見るのもいい考えだと思う。
difficult,難しい,ˈdɪfəkəlt,Hard; not easy; you need to work hard to do it,"(物事が)『難しい』,困難な,骨の折れる 
(人が)『気難しい』,つきあいにくい,扱いにくい",It's quite difficult to master French in 2 or 3 years.,２、３年でフランス語に熟達するのはきわめて難しい。
difficulty,難しさ；困難,ˈdɪfəkəlti,Something that is hard to do,"〈U〉『難しさ』,困難 
〈C〉『困難なこと』,難事,障害 
〈C〉《通例複数形で》『困難な状況』,(特に)財政困難 
〈C〉〈U〉(…との)不和,仲たがい《+『with』(『between』)+『名』》 
〈C〉苦情,反対",Was your difficulty in getting up back then also because you wanted to be chastized I wonder?,さっき、なかなか起きなかったのも、折檻して欲しかったからでしょう？
dig,掘る,dɪg,To move material to create a hole,"〈地面・穴など〉‘を'『掘る』 
…‘を'『掘り出す』《+『up』+『名』,+『名』+『up』》 
(…から)…‘を'見つけ出す,探り出す《+『名』+『from』+『名』》 
…‘を'突く;(…に)…‘を'突っ込む《+『名』+『in』(『into』)+『名』》 
《俗》…‘を'理解する,好む 
『地面を掘る』,掘り返す 
《話》(資料などを)丹念に調べる《+『at』+『名』》 
(…を)小突くこと《+『in』+『名』》 
(…に対する)当てこすり《+『at』+『名』》 
考古学上の発掘地 
《複数形で》《英話》下宿",It took me about two and a half hours to dig a hole one meter in diameter and two meters in depth.,直径１メートル、深さ２メートルの穴を掘るのに、約２時間半かかりました。
dinner,夕食,ˈdɪnər,"The main meal of the day, usually in the evening in the US","〈C〉〈U〉(1日の食事の中で)『主要な食事』,正餐(せいさん);(現在では,特に)『夕食』,晩餐 
〈C〉(公式の)晩餐会 
晩餐(用)の",I called my neighbors over for dinner.,隣近所の人を夕食に招いた。
dirty,汚い,ˈdɜrti,Not clean,"『汚い』,汚れた,不潔な;泥だらけの,泥んこの 
『不正な』,卑劣な,下劣な 
『下品な』,卑わいな,わいせつな 
《話》(天気が)荒れ模様の(stormy) 
(原子兵器が)汚れた,放射性降下物の多い,放射能の多い 
…‘を'『汚す』;〈名誉・名声など〉‘を'汚す,傷つける 
汚れる",She wanted to wash the dirty clothes.,彼女は汚れた着物を洗濯したかった。
discover,発見する,dɪˈskʌvər,To find something new that was not known before,"〈今まで知らなかった物・場所〉‘を'『発見する』,見付ける 
〈今まで知らなかった事〉‘を'発見する,悟る",I discovered that she was better at math than I.,彼女が僕より数学が得意なのを僕は知った。
discovery,発見,dɪˈskʌvəri,Learning something for the first time,〈U〉『発見』;〈C〉発見した物(事),He is eminent for his great discoveries.,彼はいくつもの大発見で有名だ。
do,する,du,To act; to perform actions,ド(全音階の第1音),"How do you spell ""pretty""?",「ｐｒｅｔｔｙ」の綴りは？
dog,犬,dɔg,Small 4-legged animal that barks kept as a pet,"犬 
雄犬;イヌ科の動物(特にイタチ・オオカミ・カワウソ)の雄 
《話》《形容詞を伴って》やつ 
《話》くだらない男,下劣なやつ 
《米俗》粗悪な物,くだらない物 
つかみ道具(氷づかみ,掛けかぎなど) 
《the dogs》《英》競犬 
(犬のように)…‘の'後をつける,‘に'付きまとう",In dog ethology the leader is called 'alpha'; after that it continues with 'beta' and 'gamma'.,トップのリーダーは犬の行動学では「アルファ」と呼ばれ、以下「ベータ」「ガンマ」と続きます。
door,ドア,dɔr,You walk through this when you go in a room,"(家・部屋・家具の)『扉』 
『戸口』,出入り口(doorway) 
『1戸』,『1軒』 
《比喩(ひゆ)的に》(…に至る)入口,出口《+『to』+『名』》",The person who opened the door and came in was an utter stranger.,ドアを開けて入ってきたのは、まったく見知らぬ人だった。
double,二倍，二倍の,ˈdʌbəl,Two times the amount or degree; twice,"(数量・強さ・重さ・価値などが)『2倍の』,倍の 
『二重の』,二様の;複の,対の,2人用の 
表裏のある,二心ある 
(意味が)二様にとれる,あいまいな 
(花が)八重の,重弁の 
『2倍に』,2倍だけ(twice) 
二重に,二様に 
対をなして,二人いっしょに 
〈U〉『2倍』[の数量・価額など] 
〈C〉2倍のもの 
〈C〉よく似た人(物),生き写し 
〈C〉(映画の)代役 
《複数形》《単数扱い》(テニスなどの)ダブルス 
〈C〉(獲物が追っ手を逃れるときなどの)逆走,急転回 
〈C〉2塁打 
〈C〉(ブリッジの点の)倍加 
〈C〉(競馬・ドッグレースの)重勝式のかけ,複式 
…‘を'『2倍にする』 
…‘を'『二つ折りにする』 
…‘の'2倍の数(量)がある 
〈二役〉‘を'ひとりで演ずる 
〈船が〉〈岬〉‘を'回る 
『2倍になる』 
(…の役を)兼ねる《+『as』+『名』》 
(急に)取って返す,逆戻りする《+『back』》 
二つ折りになる 
(ブリッジで)相手のせり高を倍加する 
2塁打を打つ","This sort of structure is called a double negative, but in effect it shows affirmation.",このような形を二重否定といいますが、結果として肯定を表すこととなります。
doubt,"【名/U】疑い,疑惑【動/他】を疑う【動/自】疑う",daʊt,not being sure of something; lack of certainty,"『疑い』,疑惑;疑わしさ,疑問 
‘を'『疑う』,疑問に思う",I don't doubt that she is married.,彼女が結婚していることを僕は信じて疑わない。
down,下へ；下って,daʊn,Going from a higher position to a lower position,"なだらかな草原地,丘陵地帯(特にイングランド南部の小高い白亜質の草原地the Downsを言う)",How much of winning an election is down to looks?,選挙に勝つには「見た目」が何割？
draw,線を引く；描く,drɔ,To create an image using pen or pencil and paper,"…‘を'『引く』,引っぱる 
《副詞[句]を伴って》…‘を'『引いて』(ある状態に)『する』 
(…から)…‘を'『引き抜く』,取り出す《+『名』+『from』(『out of』)+『名』》 
(…から)〈液体など〉‘を'『くみ出す』,くみ上げる《+『名』+『from』+『名』》 
(…から)…‘を'得る,引き出す《+『名』+『from』+『名』》 
〈事〉‘を'招く,もたらす 
〈人〉‘を'引きつける,引き寄せる 
〈絵・図〉‘を'『線で描く』,〈線〉‘を'引く 
…‘を'描写する,述べる 
〈文書〉‘を'書く,作成する;〈小切手〉‘を'振り出す 
〈息〉‘を'吸い込む;〈ため息〉‘を'つく 
…‘を'引き伸ばす,いっぱいに張る 
〈くじなど〉‘を'引く,引き当てる 
〈勝負など〉‘を'引き分ける 
喫水が…‘だけ'ある 
《副詞[句]を伴って》『動く』,『近づく』,行く 
(…に向けて)剣(ピストル)を抜く《+『on』+『名』》 
《副詞[句]を伴って》人を引き付ける 
《副詞[句]を伴って》『線で書く』 
くじを引く 
《副詞[句]を伴って》〈水が〉はける,〈パイプ・煙突などが〉通る 
(勝負などが)引き分けになる 
〈茶などが〉出る 
〈船が〉喫水する 
引くこと,抜くこと,(たばこなどの)一吸い,一服 
(人を)引きつけるもの,呼び物,人気者 
くじ引き,抽せん(lot) 
引き分け,無勝負",Please don't draw the curtains when the window is open.,窓を開ける時は、カーテンは閉めないで下さい。
dream,夢,drim,"images, thoughts, and feelings that are experienced during sleep","『夢』 
『白昼夢』,幻想(daydream) 
抱負,強い希望,夢 
《話》夢のように美しいもの,魅力のあるもの 
『夢を見る』 
(…を)『夢想する』,思い描く《+『of』(『about』)+『名』(do『ing』)》 
…‘を'『夢に見る』,《a+形容詞+dreamを目的語にして》〈…の夢〉‘を'見る 
《『dream』+『that節』》…‘と'『思う』,想像する 
〈時〉‘を'うかうかと過ごす《+『away』+『名』》","The brain waves during REM sleep are the same as when awake, and it's the stage when you have dreams.",REM睡眠中の脳波は起きている時と同じ脳波であり、夢を見るステージです。
dress,ドレス；ワンピース；服装,drɛs,Women's garment with a top part and a skirt,"…‘に'『服を着せる』,‘を'装う 
…‘を'飾る,飾り付ける 
〈髪〉‘を'整える,手入れする;〈動物の毛〉‘を'すく 
(市場用・食卓用に)〈肉・鳥〉‘を'整える,下ごしらえする(prepare) 
(ドレッシングなどをかけて)〈サラダ〉‘を'仕上げる 
〈傷口など〉‘の'手当をする 
〈土地〉‘の'手入れをする 
〈織物・石材など〉‘に'仕上げをする 
〈兵隊などの列〉‘を'まっすぐにする 
『服を着る』,服を着ている 
正装する,晴れ着を着る 
(兵隊などが)整列する 
〈U〉『衣服』,着物,服装 
〈U〉《複合語を作って》礼服 
〈C〉(ワンピースの)『婦人服』,『子供服』 
〈U〉装い,外観(appearance) 
婦人服(用)の 
(衣服が)正式の,礼服の","It gets cold in the mornings and evenings, so I want to take care how I dress.",朝夕は冷えるので服装などに注意したい。
drink,飲む,drɪŋk,To put water in your body through your mouth,"〈飲み物〉‘を'『飲む』 
〈植物・地面・物が〉〈水分など〉‘を'吸収する;〈人が〉〈空気〉‘を'深く吸う 
〈カップ・グラスなど容器の中身〉‘を'飲む,飲み干す 
《副詞[句]を伴って》〈金・時間など〉‘を'酒で飲みつぶす 
(…のために)…‘に'祝杯を上げる,…‘を'祈って乾杯する《+『名』+『to』+『名』》 
(飲み物を)『飲む』 
(習慣で,また過度に)酒を飲む 
(…のために祈って)乾杯する《+『to』+『名』》 
〈U〉〈C〉『飲み物』,飲料 
〈U〉『酒』;飲酒 
〈C〉(飲み物の)ひと飲み,1杯",It's nice to sip and savour drinks other than beer as well from time to time.,たまにはビール以外のお酒をちびちび舐めるのも良いでしょう。
drive,運転する,draɪv,To control a vehicle so that it moves somewhere,"(…から…へ)〈動物・敵など〉‘を'『追い立てる』,追い払う,追い出す《+『名』+『away』(『out』)『from』+『名』+『to』+『名』》 
(…から)…‘を'押しやる,押し流す《+『名』+『off』(『out of』)+『名』》 
〈人〉‘を'駆り立てる(force) 
〈車・馬車〉‘を'『運転する』,操縦する;〈馬〉‘を'御する 
《副詞[句]を伴って》(ある場所へ)〈人〉‘を'車(馬車)で運ぶ(送る) 
(…に)〈くい・くぎ・ねじなど〉‘を'打ち込む,差し込む《+『名』+『in』(『into, through』)+『名』》 
〈人〉‘を'酷使する 
〈商売・取引など〉‘を'活発に行う,強力に進める 
(…に)〈トンネルなど〉‘を'掘る,通す《+『名』+『through』+『名』》 
〈動力が〉〈機械など〉‘を'運転する,動かす 
『車を運転する』 
《副詞[句]を伴って》車で行く,ドライブする 
〈車・船などが〉(…に)突進する;〈雨・風が〉(…に)激しく吹きつける《+『against』(『into』)+『名』》 
〈C〉(馬車・自動車などに)乗って行くこと,遠乗り,『ドライブ』 
〈U〉(馬車・自動車で行く)道のり,行程 
〈C〉(特に邸内・公園内の)車道 
〈U〉〈C〉(自動車などの)駆動装置 
〈C〉(目的達成のための)組織的活動,運動 
〈U〉元気,迫力,精力 
〈U〉突進;(軍隊の)猛攻撃 
〈C〉(心理的な)動因,本能的要求 
〈U〉〈C〉(ゴルフ・テニスなどの)強打 
〈C〉(家畜などを)追い立てること",We sometimes combine going for a drive with eating the ramen we love so.,私達は時々、ドライブを兼ねて大好きなラーメンを食べに行きます。
driver,運転手,ˈdraɪvər,Someone who operates a vehicle,"(動物を)追う人,牛追い,馬方 
(一般に)『車を運転する人』,(職業としての自動車の)『運転手』 
ドライバー(ゴルフで最長打を飛ばすために用いるクラブ) 
(くいなどの)打ち込み機","The hit-and-run driver, accompanied by his father, came and turned himself in the next day.",ひき逃げの犯人は翌日父親に伴われて自首してきました。
